Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
20743976,0.0,100.0,100.0,64.0,96.0,49.0,75.0,88.0,80.0,0.0
94334509,100.0,100.0,100.0,0.0,100.0,100.0,53.0,70.0,0.0,0.0
36814683,15.0,85.0,57.0,63.0,69.0,90.0,50.0,62.0,22.0,100.0
32670174,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54183175,0.0,28.0,0.0,0.0,82.0,23.0,82.0,85.0,63.0,0.0
40300574,100.0,78.0,97.0,90.0,80.0,78.0,50.0,41.0,85.0,100.0
73381689,23.0,82.0,80.0,60.0,75.0,76.0,61.0,100.0,85.0,30.0
70246117,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
61412453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
66723966,95.0,0.0,44.0,28.0,43.0,56.0,42.0,55.0,43.0,80.0
98615098,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,25.0,43.0
12584561,100.0,86.0,100.0,79.0,59.0,77.0,20.0,54.0,50.0,86.0
13148647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
52689053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,43.0
73496760,100.0,97.0,56.0,80.0,63.0,77.0,79.0,95.0,100.0,67.0
98726176,100.0,98.0,100.0,100.0,90.0,88.0,62.0,18.0,0.0,100.0
41115870,100.0,70.0,89.0,67.0,18.0,94.0,32.0,20.0,0.0,0.0
89490222,50.0,100.0,100.0,93.0,61.0,73.0,25.0,59.0,50.0,73.0
35239168,100.0,99.0,100.0,35.0,78.0,67.0,60.0,100.0,50.0,100.0
50419199,100.0,38.0,0.0,51.0,21.0,0.0,0.0,30.0,0.0,0.0
60813480,0.0,48.0,0.0,8.0,12.0,0.0,0.0,0.0,48.0,0.0
72623279,0.0,27.0,55.0,35.0,0.0,0.0,51.0,17.0,31.0,0.0
46159542,100.0,87.0,100.0,76.0,71.0,97.0,20.0,20.0,0.0,0.0
31775286,100.0,100.0,100.0,73.0,81.0,0.0,44.0,48.0,0.0,0.0
75163235,48.0,6.0,56.0,6.0,13.0,33.0,10.0,45.0,0.0,0.0
53637669,100.0,100.0,100.0,100.0,88.0,94.0,89.0,78.0,0.0,100.0
59715668,63.0,40.0,100.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0
20679724,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88261711,88.0,50.0,53.0,66.0,12.0,71.0,11.0,24.0,10.0,4.0
75637165,100.0,90.0,100.0,66.0,79.0,51.0,46.0,84.0,50.0,97.0
64549122,100.0,100.0,100.0,90.0,100.0,100.0,80.0,68.0,80.0,100.0
42153309,100.0,100.0,100.0,70.0,100.0,56.0,18.0,50.0,0.0,0.0
10288456,0.0,0.0,0.0,0.0,0.0,48.0,39.0,88.0,30.0,61.0
18320642,100.0,100.0,56.0,38.0,42.0,67.0,26.0,30.0,53.0,51.0
25992894,50.0,98.0,78.0,65.0,24.0,56.0,48.0,28.0,90.0,16.0
51315077,100.0,63.0,91.0,70.0,82.0,77.0,84.0,100.0,25.0,100.0
45873056,100.0,100.0,100.0,100.0,73.0,100.0,10.0,100.0,100.0,0.0
61329673,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99218881,100.0,100.0,100.0,100.0,91.0,100.0,60.0,100.0,100.0,43.0
81734132,80.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17513375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95975416,100.0,81.0,100.0,50.0,32.0,22.0,10.0,0.0,0.0,0.0
85696727,50.0,100.0,54.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0
64609448,100.0,55.0,82.0,20.0,32.0,60.0,20.0,60.0,0.0,60.0
81957314,88.0,44.0,84.0,98.0,93.0,56.0,48.0,50.0,79.0,31.0
78534290,100.0,100.0,100.0,86.0,91.0,93.0,81.0,100.0,80.0,100.0
56634669,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
51204596,100.0,55.0,92.0,50.0,53.0,88.0,76.0,100.0,83.0,100.0
49784910,0.0,50.0,0.0,40.0,28.0,62.0,49.0,66.0,0.0,100.0
27325452,100.0,80.0,100.0,55.0,71.0,54.0,35.0,74.0,0.0,0.0
58887597,100.0,100.0,100.0,99.0,94.0,56.0,76.0,88.0,0.0,100.0
53905435,100.0,40.0,100.0,73.0,49.0,100.0,69.0,75.0,0.0,0.0
41707679,100.0,100.0,100.0,100.0,95.0,99.0,94.0,93.0,100.0,100.0
21585127,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0
57005216,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99435901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95977109,61.0,80.0,61.0,41.0,50.0,77.0,22.0,64.0,0.0,17.0
96346768,75.0,76.0,95.0,70.0,93.0,89.0,90.0,93.0,93.0,80.0
49806843,75.0,80.0,100.0,78.0,78.0,67.0,29.0,18.0,25.0,0.0
42738772,100.0,80.0,6.0,0.0,23.0,0.0,5.0,2.0,0.0,0.0
94193537,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94039775,100.0,40.0,89.0,76.0,47.0,33.0,28.0,40.0,0.0,0.0
16459971,50.0,36.0,54.0,87.0,0.0,31.0,20.0,10.0,65.0,50.0
69780409,100.0,30.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
61553683,100.0,87.0,98.0,95.0,24.0,78.0,10.0,55.0,90.0,88.0
49312326,100.0,100.0,100.0,94.0,73.0,31.0,0.0,58.0,56.0,100.0
26013074,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0
11720062,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
50301485,100.0,100.0,100.0,80.0,100.0,100.0,57.0,100.0,68.0,89.0
57814323,100.0,100.0,100.0,90.0,43.0,78.0,51.0,69.0,0.0,0.0
44424412,100.0,100.0,100.0,100.0,100.0,100.0,75.0,90.0,0.0,100.0
28993185,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59125777,100.0,100.0,100.0,100.0,92.0,94.0,85.0,79.0,0.0,99.0
51666805,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0
81200570,100.0,80.0,100.0,100.0,100.0,100.0,84.0,100.0,100.0,0.0
13902965,100.0,100.0,89.0,71.0,61.0,56.0,62.0,88.0,0.0,0.0
35092169,88.0,100.0,67.0,70.0,55.0,89.0,85.0,100.0,85.0,100.0
16013789,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
91435409,100.0,100.0,100.0,100.0,75.0,92.0,94.0,88.0,100.0,100.0
18772021,100.0,100.0,100.0,100.0,100.0,100.0,94.0,90.0,25.0,71.0
11280583,0.0,50.0,75.0,40.0,36.0,62.0,50.0,100.0,25.0,29.0
89516281,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81811643,100.0,100.0,100.0,100.0,97.0,100.0,78.0,95.0,100.0,85.0
86703236,100.0,100.0,97.0,100.0,100.0,60.0,26.0,0.0,25.0,0.0
18884292,0.0,0.0,100.0,0.0,82.0,0.0,100.0,100.0,75.0,41.0
33737937,88.0,40.0,56.0,20.0,18.0,22.0,20.0,0.0,0.0,0.0
31664592,100.0,100.0,56.0,76.0,82.0,44.0,29.0,50.0,0.0,71.0
98168038,100.0,80.0,83.0,88.0,45.0,56.0,39.0,100.0,75.0,0.0
42120296,0.0,60.0,100.0,0.0,0.0,54.0,20.0,36.0,0.0,0.0
59897937,50.0,70.0,44.0,97.0,82.0,94.0,63.0,62.0,75.0,71.0
87098918,88.0,40.0,54.0,60.0,18.0,48.0,31.0,62.0,0.0,34.0
97998433,100.0,100.0,75.0,40.0,45.0,70.0,40.0,77.0,0.0,100.0
30166785,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
65958403,100.0,100.0,100.0,100.0,100.0,100.0,90.0,15.0,75.0,86.0
62605871,100.0,100.0,100.0,100.0,87.0,100.0,37.0,28.0,0.0,22.0
55973104,50.0,100.0,100.0,95.0,91.0,100.0,71.0,50.0,0.0,100.0
62220404,100.0,100.0,100.0,100.0,100.0,56.0,80.0,100.0,100.0,43.0
94651334,0.0,100.0,100.0,100.0,100.0,100.0,58.0,100.0,0.0,100.0
50640627,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
21002121,100.0,52.0,100.0,90.0,83.0,67.0,42.0,55.0,0.0,0.0
30993222,100.0,70.0,100.0,89.0,53.0,100.0,10.0,70.0,100.0,86.0
60182001,100.0,100.0,78.0,74.0,78.0,100.0,94.0,88.0,100.0,100.0
51596177,100.0,85.0,78.0,100.0,82.0,100.0,35.0,100.0,100.0,100.0
29795251,100.0,100.0,75.0,80.0,100.0,100.0,74.0,90.0,100.0,100.0
98067951,100.0,90.0,100.0,60.0,91.0,56.0,100.0,70.0,100.0,100.0
44259391,0.0,78.0,44.0,100.0,73.0,95.0,0.0,85.0,10.0,0.0
36458945,75.0,80.0,56.0,40.0,75.0,100.0,83.0,88.0,65.0,43.0
29444926,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
88962100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
28355991,0.0,100.0,56.0,80.0,0.0,71.0,15.0,0.0,0.0,0.0
57325329,50.0,50.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
61051356,100.0,100.0,100.0,100.0,99.0,100.0,90.0,100.0,0.0,100.0
82554050,100.0,100.0,100.0,71.0,97.0,100.0,84.0,88.0,90.0,99.0
53679865,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,100.0,100.0
54272087,100.0,25.0,94.0,69.0,72.0,94.0,28.0,35.0,0.0,100.0
70486795,100.0,100.0,100.0,40.0,34.0,85.0,75.0,74.0,0.0,100.0
68439715,100.0,100.0,84.0,99.0,88.0,76.0,64.0,88.0,80.0,0.0
28916910,100.0,100.0,100.0,100.0,73.0,67.0,35.0,80.0,0.0,0.0
72692928,38.0,18.0,18.0,40.0,6.0,0.0,26.0,0.0,0.0,0.0
39812656,100.0,100.0,100.0,58.0,100.0,100.0,100.0,100.0,80.0,100.0
42687541,100.0,74.0,100.0,0.0,49.0,78.0,46.0,60.0,100.0,100.0
91016743,100.0,100.0,100.0,100.0,92.0,78.0,87.0,88.0,100.0,100.0
71058846,96.0,100.0,22.0,100.0,100.0,87.0,60.0,0.0,0.0,43.0
22105353,100.0,100.0,100.0,100.0,51.0,82.0,56.0,40.0,50.0,100.0
70086521,50.0,99.0,100.0,82.0,89.0,100.0,53.0,95.0,68.0,63.0
10700295,100.0,88.0,100.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
44013913,90.0,100.0,100.0,70.0,100.0,78.0,40.0,90.0,0.0,43.0
73625555,100.0,97.0,56.0,62.0,100.0,100.0,98.0,80.0,10.0,100.0
77471025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,100.0
37720912,50.0,100.0,100.0,4.0,82.0,100.0,72.0,100.0,100.0,100.0
45990970,88.0,60.0,67.0,0.0,24.0,56.0,12.0,0.0,50.0,71.0
12230549,50.0,97.0,100.0,88.0,76.0,73.0,69.0,88.0,0.0,0.0
99046614,100.0,100.0,97.0,100.0,95.0,100.0,75.0,95.0,100.0,100.0
19880196,100.0,10.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67413804,99.0,48.0,100.0,59.0,23.0,31.0,29.0,60.0,6.0,0.0
92244107,100.0,73.0,100.0,100.0,68.0,61.0,85.0,59.0,100.0,0.0
90239774,100.0,97.0,100.0,100.0,64.0,78.0,70.0,100.0,100.0,100.0
93947522,0.0,0.0,0.0,57.0,0.0,6.0,15.0,0.0,0.0,0.0
14532650,100.0,100.0,100.0,56.0,89.0,67.0,95.0,50.0,25.0,100.0
99403012,100.0,100.0,100.0,100.0,91.0,100.0,90.0,100.0,100.0,100.0
52701053,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0
64723117,92.0,20.0,100.0,48.0,37.0,33.0,5.0,52.0,0.0,57.0
57282663,50.0,40.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0
72729148,96.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
29195474,50.0,49.0,46.0,10.0,7.0,51.0,23.0,29.0,70.0,24.0
83496795,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
64316426,100.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,100.0
39518199,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78735752,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0
72056551,100.0,100.0,100.0,100.0,100.0,100.0,72.0,94.0,100.0,100.0
47380529,100.0,90.0,22.0,80.0,72.0,0.0,21.0,70.0,0.0,0.0
16238312,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
83078402,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30717488,100.0,100.0,100.0,80.0,100.0,100.0,90.0,100.0,100.0,86.0
56472638,100.0,100.0,100.0,100.0,100.0,93.0,87.0,100.0,100.0,100.0
68074530,100.0,86.0,100.0,76.0,20.0,30.0,40.0,70.0,25.0,58.0
94998106,90.0,100.0,56.0,100.0,100.0,56.0,100.0,100.0,60.0,100.0
75640034,0.0,100.0,100.0,20.0,37.0,52.0,24.0,75.0,100.0,100.0
64734377,50.0,100.0,56.0,86.0,64.0,67.0,25.0,61.0,100.0,55.0
44513932,100.0,100.0,100.0,100.0,100.0,56.0,100.0,60.0,0.0,100.0
34164438,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
74247101,50.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,0.0,86.0
37861048,25.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40963132,100.0,100.0,100.0,0.0,100.0,0.0,63.0,59.0,0.0,86.0
22290486,100.0,100.0,100.0,100.0,36.0,87.0,62.0,100.0,100.0,86.0
92536739,100.0,100.0,100.0,73.0,64.0,72.0,65.0,100.0,0.0,100.0
96631030,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0
30851750,61.0,100.0,89.0,100.0,96.0,56.0,37.0,60.0,0.0,41.0
11968244,100.0,0.0,55.0,100.0,36.0,0.0,0.0,0.0,0.0,0.0
82500610,100.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
33021789,100.0,100.0,100.0,90.0,26.0,44.0,33.0,70.0,25.0,100.0
89070671,100.0,100.0,100.0,100.0,83.0,100.0,68.0,94.0,100.0,100.0
14804335,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
65115725,0.0,0.0,99.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
72777338,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,75.0,100.0
41860313,100.0,90.0,100.0,77.0,74.0,92.0,100.0,100.0,0.0,57.0
76691322,100.0,100.0,100.0,66.0,0.0,100.0,38.0,40.0,0.0,83.0
15711707,100.0,100.0,76.0,84.0,29.0,92.0,22.0,74.0,25.0,100.0
14023706,100.0,100.0,100.0,100.0,75.0,100.0,90.0,100.0,100.0,57.0
18280022,100.0,86.0,100.0,76.0,27.0,50.0,27.0,60.0,0.0,0.0
96939852,98.0,48.0,78.0,0.0,23.0,56.0,85.0,80.0,93.0,0.0
50192240,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
93641353,100.0,100.0,100.0,88.0,82.0,56.0,44.0,60.0,0.0,33.0
42867665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75033531,0.0,27.0,82.0,37.0,63.0,54.0,8.0,0.0,0.0,0.0
18094987,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0
86253272,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40584220,100.0,89.0,97.0,60.0,100.0,79.0,74.0,80.0,60.0,0.0
98530304,0.0,0.0,0.0,0.0,32.0,0.0,60.0,90.0,25.0,0.0
23061621,100.0,31.0,59.0,48.0,51.0,81.0,48.0,66.0,0.0,65.0
61861882,100.0,100.0,100.0,95.0,91.0,78.0,62.0,49.0,60.0,0.0
15168545,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
26832681,100.0,80.0,91.0,100.0,96.0,100.0,100.0,74.0,90.0,14.0
70526424,0.0,98.0,100.0,100.0,87.0,100.0,86.0,100.0,63.0,43.0
92121028,100.0,100.0,100.0,100.0,100.0,100.0,47.0,100.0,100.0,99.0
