mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.175385141372681,0.33376766833167876,0.08954248428344727,0.014708605211975105,10,1.0,10,500,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 500}",-0.003827969888225091,0.22754866541509133,0.32200431693438747,0.5457082136107476,0.5587227557774574,0.33003119636989176,0.21016443464540582,1
2.470209312438965,0.18468316812843819,0.05726094245910644,0.009998456939439319,10,1.0,10,300,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 300}",-0.003851378576388731,0.2260863556751923,0.32379648028391084,0.5445850686763273,0.5584189148774705,0.3298070881873024,0.21000716102498676,2
0.7947144985198975,0.05761854318692129,0.018328142166137696,0.002124399138336788,10,1.0,10,100,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 100}",-0.005083829487970926,0.22596606718637668,0.31857331119356636,0.5515591477267272,0.557420195979331,0.32968697851960604,0.21168028379918016,3
0.4821624279022217,0.03391098845484693,0.01753721237182617,0.001423625925793126,10,sqrt,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",-0.004861396530942308,0.2280158031278986,0.3218033363764279,0.5400326407307122,0.5514817000053378,0.32729441674188686,0.20771681169255246,4
0.4566011905670166,0.03283346055943107,0.018642711639404296,0.0023512046402537983,10,log2,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",-0.004861396530942308,0.2280158031278986,0.3218033363764279,0.5400326407307122,0.5514817000053378,0.32729441674188686,0.20771681169255246,4
4.144283199310303,0.2803714683656266,0.0830451488494873,0.009347704978612911,10,1.0,5,500,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 5, 'n_estimators': 500}",-0.007670344906175464,0.22972513353238977,0.31568675352934217,0.5417620708069444,0.5551481631692248,0.3269303552263451,0.20965158530973307,6
0.8142606258392334,0.051743186417272526,0.018309259414672853,0.0009934021611160608,10,1.0,5,100,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 5, 'n_estimators': 100}",-0.006904455325174252,0.2268979518061094,0.31425817398560707,0.5473497735295183,0.552151227462743,0.3267505342917607,0.21020073559604224,7
2.2948758125305178,0.12896070821572822,0.08409996032714843,0.006182671305612114,10,sqrt,10,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 500}",-0.005658898481903707,0.2286792350915765,0.3207463559565943,0.5379480731384036,0.5511872226485327,0.3265803976706406,0.20742523648017697,8
2.236543798446655,0.12033122634803763,0.09066901206970215,0.019038844138662015,10,log2,10,500,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 500}",-0.005658898481903707,0.2286792350915765,0.3207463559565943,0.5379480731384036,0.5511872226485327,0.3265803976706406,0.20742523648017697,8
2.539691925048828,0.158547987660434,0.05478935241699219,0.006130634265499578,10,1.0,5,300,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 5, 'n_estimators': 300}",-0.008049945818138005,0.22863789685566815,0.31768332876990246,0.5400667280155229,0.5540484156376033,0.3264772846921118,0.20926892620016202,10
1.3603455066680907,0.0777364084788336,0.04928855895996094,0.00635516173006086,10,log2,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",-0.006246485666613122,0.22897423765352798,0.32271614850726826,0.5386892400592811,0.5479617292362688,0.3264189739579466,0.2070339845841824,11
1.4631494998931884,0.08112180627221881,0.05286936759948731,0.005923140182652676,10,sqrt,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",-0.006246485666613122,0.22897423765352798,0.32271614850726826,0.5386892400592811,0.5479617292362688,0.3264189739579466,0.2070339845841824,11
4.263145828247071,0.06974882203538649,0.09660725593566895,0.022987071732883817,10,1.0,2,500,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 2, 'n_estimators': 500}",-0.009839701365455866,0.22881001736477524,0.3134081962593107,0.539911898257049,0.5526886745024093,0.3249958170036177,0.20953938279257203,13
2.651518630981445,0.12404254808020101,0.05162625312805176,0.0034327554755714863,10,1.0,2,300,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 2, 'n_estimators': 300}",-0.01034744673685406,0.2278440315854927,0.31490725259404284,0.538252266531636,0.5512579635701187,0.32438281350888726,0.20912500876061735,14
0.864157772064209,0.05539488113356963,0.019674396514892577,0.0035294947527327305,10,1.0,2,100,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_split': 2, 'n_estimators': 100}",-0.009454015572061492,0.22548110041750258,0.3104807751405202,0.5458615940701734,0.5495169134200515,0.3243772734952372,0.21031407798922752,15
2.334720087051392,0.07679080031774105,0.08341450691223144,0.0057668229308354396,10,sqrt,5,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500}",-0.007685499796519002,0.22971750517490774,0.3173020645344292,0.5305423491261541,0.5471384138735719,0.3234029665825088,0.2056200541918354,16
2.3847816944122315,0.15934408455089957,0.08049449920654297,0.005709915588537944,10,log2,5,500,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 500}",-0.007685499796519002,0.22971750517490774,0.3173020645344292,0.5305423491261541,0.5471384138735719,0.3234029665825088,0.2056200541918354,16
1.4427013874053956,0.08389642442169437,0.060648632049560544,0.012886902039958617,10,log2,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",-0.007593573659294917,0.2289834001776141,0.31947465967173694,0.5298189039409498,0.5454426419813785,0.3232252064224769,0.20513322228285905,18
1.4850877285003663,0.08246143710196184,0.05991086959838867,0.0106238561583462,10,sqrt,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",-0.007593573659294917,0.2289834001776141,0.31947465967173694,0.5298189039409498,0.5454426419813785,0.3232252064224769,0.20513322228285905,18
0.45265493392944334,0.011227721218419136,0.017723703384399415,0.0011189764336193933,10,log2,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",-0.007904926853729899,0.2281781420655956,0.31514842489081574,0.5297710475052231,0.5479229668608941,0.32262313089375977,0.20586150662335967,20
0.47867894172668457,0.04061081716046416,0.0228787899017334,0.007925693619321841,10,sqrt,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",-0.007904926853729899,0.2281781420655956,0.31514842489081574,0.5297710475052231,0.5479229668608941,0.32262313089375977,0.20586150662335967,20
1.555652952194214,0.10355027323799969,0.052462196350097655,0.005363217979564305,10,sqrt,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",-0.008010755851040718,0.22623253190572068,0.3169758385316358,0.5343896918906927,0.5403514107121845,0.3219877434378386,0.20537305965064265,22
