mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9076990604400634,0.09753793932736929,0.013803339004516602,0.002996907763726402,1.0,0.1,0.01,4,5,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}",0.005229115521985905,0.26150700925126713,0.3721457528021076,0.5801086428896272,0.5924199352961473,0.362282091152227,0.21824370337249854,1
0.7181503295898437,0.5926579374079705,0.011859893798828125,0.0010324140270447275,1.0,0.2,0.01,4,5,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}",0.005229115521985905,0.26150700925126713,0.3721457528021076,0.580100528633342,0.5924199352961473,0.36228046830097,0.2182420836412884,2
0.2655539035797119,0.04169289375189012,0.011660194396972657,0.00044206319235087104,1.0,0.2,0.01,4,9,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 9, 'n_estimators': 300, 'subsample': 0.8}",0.0037939910934374765,0.2607027735222245,0.37020137394428454,0.5785391447640464,0.5956075424354484,0.3617689651518883,0.21913527952194342,3
0.2639967918395996,0.008110235052289496,0.011770915985107423,0.00018652949329991736,1.0,0.1,0.01,4,9,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 9, 'n_estimators': 300, 'subsample': 0.8}",0.0037939910934374765,0.2607027735222245,0.37020137394428454,0.5785391447640464,0.5956075424354484,0.3617689651518883,0.21913527952194342,3
0.5496421337127686,0.3599569851830846,0.011984825134277344,0.0008655115511210867,1.0,0.1,0.01,4,7,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 7, 'n_estimators': 300, 'subsample': 0.8}",0.004023234011832022,0.2613862003247882,0.3694516533722111,0.5790859622859574,0.5938854728992407,0.3615665045788059,0.21873375449725832,5
0.464557409286499,0.18924906742973732,0.07871932983398437,0.12925680409450058,1.0,0.2,0.01,4,7,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 7, 'n_estimators': 300, 'subsample': 0.8}",0.004023234011832022,0.2613862003247882,0.3694516533722111,0.5790859622859574,0.5938854728992407,0.3615665045788059,0.21873375449725832,5
1.0463271141052246,0.030170612338710948,0.017148685455322266,0.003469596601381674,1.0,0.1,0.01,4,5,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.8}",-0.0003078314762852141,0.25299669328280017,0.3672120390153124,0.5851819875356112,0.5892237132475132,0.3588613203209904,0.22116392556053352,7
0.37944931983947755,0.13300743504285265,0.014702844619750976,0.0013072756363310047,1.0,0.2,0.01,4,5,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.8}",-0.0003078314762852141,0.25299669328280017,0.3672120390153124,0.5850885697369522,0.5892237132475132,0.3588426367612586,0.22114480869836836,8
0.34424285888671874,0.009857544335798092,0.015873289108276366,0.0016439410757451201,1.0,0.1,0.01,4,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",-0.0011083961406848086,0.2510430678764849,0.36662283147775543,0.5833070957645918,0.5938698534295483,0.3587468904815391,0.22220173926524406,9
0.3596198081970215,0.07652663624020414,0.014316844940185546,0.0006048328414287521,1.0,0.2,0.01,4,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",-0.0011083961406848086,0.2510430678764849,0.36662283147775543,0.5833070957645918,0.5938698534295483,0.3587468904815391,0.22220173926524406,9
