Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
11167954,86.5,8,-12.5,19.09,0.8,0
11169353,50.12,8,-20.75,74.68,0.8,0
11280291,52.25,5,-41.0,83.28,0.8,2
11469024,80.62,8,-20.25,59.61,0.8,0
11720561,12.5,1,0.0,92.5,0.8,7
12270762,82.88,8,-9.25,60.14,0.8,0
12576971,69.75,8,-45.5,54.51,0.8,0
12701511,65.25,8,-50.5,49.67,0.8,0
12745459,73.0,7,-28.67,54.73,0.8,1
12754502,93.38,8,-3.25,27.41,0.8,0
12841693,100.0,8,0.0,29.27,0.8,0
13123645,96.75,8,3.5,22.69,0.8,0
13281682,72.25,8,9.5,66.97,0.8,0
13308072,94.0,8,8.0,47.32,0.8,0
13406553,100.0,8,0.0,31.05,0.8,0
13499914,83.5,8,-13.0,24.85,0.8,0
13564306,97.5,8,1.0,26.35,0.8,0
13676825,95.25,8,-8.0,39.74,0.8,0
13688287,96.25,8,-7.5,24.89,0.8,0
13763057,37.0,6,-32.0,63.56,0.8,1
13830286,63.0,7,-55.33,77.56,0.8,1
13893461,93.88,8,-12.25,56.53,0.8,0
14665404,36.0,7,-26.33,72.29,0.8,1
14733375,100.0,8,0.0,20.55,0.8,0
14840870,82.12,8,-8.25,40.19,0.8,0
15279377,38.88,7,-3.67,80.13,0.8,1
15295996,99.62,8,-0.75,20.91,0.8,0
15785463,100.0,8,0.0,40.91,0.8,0
15962507,91.12,8,-17.75,55.34,0.8,0
16072796,92.25,8,-10.5,21.37,0.8,0
16255006,45.38,7,-4.67,72.19,0.8,1
16329395,85.75,8,5.5,36.37,0.8,0
16408707,96.25,8,-7.5,10.2,0.8,0
16588715,56.12,8,-40.75,76.17,0.8,0
16703339,62.0,8,-49.5,71.53,0.8,0
16784767,75.75,8,-5.0,54.21,0.8,0
17360652,50.88,8,12.25,71.79,0.8,0
17489676,100.0,8,0.0,26.02,0.8,0
17628006,99.0,8,-2.0,5.32,0.8,0
17886798,83.88,7,-4.0,60.0,0.8,1
17975196,36.5,3,0.0,88.32,0.8,5
18064644,100.0,8,0.0,9.0,0.8,0
18271057,88.12,8,-7.25,25.23,0.8,0
18420311,61.38,8,12.75,43.17,0.8,0
18663374,0.0,0,0.0,100.0,0.8,8
18682688,100.0,8,0.0,9.5,0.8,0
18837944,46.88,8,-34.75,78.83,0.8,0
18911436,74.62,8,23.75,64.3,0.8,0
19084213,100.0,8,0.0,16.34,0.8,0
19133412,89.88,8,2.25,35.64,0.8,0
