mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8249512195587159,0.021260466347799885,0.051093339920043945,0.001530983440823741,5,400,"{'max_depth': 5, 'n_estimators': 400}",0.525046869512783,0.5084305761222133,0.5304027647330603,0.5435190919702306,0.507076597728817,0.5228951800134208,0.01375348429781188,1
2.287006139755249,0.03989481948006508,0.059746170043945314,0.0016313095776565832,5,500,"{'max_depth': 5, 'n_estimators': 500}",0.5250104897848,0.5082829138745855,0.5300252855908119,0.5437642957548723,0.5068117873504137,0.5227789544710967,0.013877746446631143,2
0.4748836517333984,0.006940474674111857,0.014283514022827149,0.0010316768422186913,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.5252187953409237,0.5077918764367729,0.529983786609397,0.5432987354867009,0.5075048559067709,0.522759609956113,0.01368818882429569,3
0.9424607753753662,0.06768328637766202,0.031219863891601564,0.009625925384000051,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.5247701359388867,0.5081138395639984,0.5303104264203888,0.5434435625879643,0.5071450435961656,0.5227566016214807,0.01376369258751889,4
1.531671142578125,0.08769646111967756,0.03603925704956055,0.0007546854959016446,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.5249635480499034,0.5082630159174815,0.5301405985441714,0.5434011239707287,0.5069485965592933,0.5227433766083156,0.013751701729031814,5
0.2594932556152344,0.013359964484828447,0.008580493927001952,0.0014043805635802562,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.5252772875668277,0.5080373504356823,0.5297280262104954,0.5431955287840122,0.5067512447067564,0.5225978875407549,0.013750681558612981,6
3.8871163368225097,0.0710372676230998,0.09754300117492676,0.0023380783904264047,10,500,"{'max_depth': 10, 'n_estimators': 500}",0.5277524454068654,0.4993108241472798,0.531366286697357,0.5401659762924662,0.5083067328902461,0.5213804530868429,0.015173699103654422,7
2.3428674697875977,0.02911490495595919,0.05986480712890625,0.003808568756443897,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.527802495176638,0.49885962749950497,0.5319052399502979,0.5401079315677592,0.5081291925855587,0.5213608973559518,0.015398141389483177,8
3.1207075119018555,0.06436966186878516,0.07736740112304688,0.0019048896650739626,10,400,"{'max_depth': 10, 'n_estimators': 400}",0.527720955334675,0.499053035237933,0.5316329644615174,0.5399911325055647,0.5084008488755652,0.5213597872830511,0.01522271279748151,9
1.533045482635498,0.01994960840514556,0.04155278205871582,0.00461586821346688,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.5274002439941408,0.4985915971308763,0.5321619317146932,0.5397499600171829,0.507189782658389,0.5210187031030564,0.015556154515632262,10
0.7728040218353271,0.011540383517670267,0.021340036392211915,0.0008607307699669086,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.5265348043341582,0.49933608214954583,0.5319215831867533,0.5399259655578699,0.5055323434981629,0.520650155745298,0.015595313333803693,11
0.0615445613861084,0.004252910102372021,0.004213380813598633,0.0005160535508028792,5,10,"{'max_depth': 5, 'n_estimators': 10}",0.5212993671910009,0.5066658833819662,0.5273478755430234,0.5416237963021564,0.5034203034087256,0.5200714451653744,0.013970881715866974,12
0.39111828804016113,0.005839323730721142,0.012612867355346679,0.0023050063464956825,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.5240234929695071,0.49608482428649736,0.5327187346263274,0.5388359781599924,0.5037971606537757,0.51909203813922,0.0165111746281022,13
0.08028163909912109,0.0012931995914657643,0.0036550045013427736,4.711175254420204e-05,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.5137105534763121,0.4926973474766936,0.519272976970311,0.5362827122246407,0.49072971946280075,0.5105386619221517,0.017086907174023815,14
3.2306183338165284,0.09817163298177324,0.08220057487487793,0.006035523309729498,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.5071502082044759,0.48076942248305365,0.5150456871106368,0.5209214889709557,0.4893987170942836,0.5026571047726811,0.01524538068253889,15
5.504706287384034,0.13206053881810773,0.13113203048706054,0.0034660763106084866,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.5070688266719464,0.4815090776369775,0.5142167614692517,0.5204712146847852,0.4897260310539173,0.5025983823033756,0.014730009793819583,16
4.384603834152221,0.13802358666220474,0.12500529289245604,0.0233518764095553,15,400,"{'max_depth': 15, 'n_estimators': 400}",0.5072075452224014,0.48107830009372676,0.5145598622590788,0.5203798085679323,0.4897156345074234,0.5025882301301126,0.014896839391614082,17
2.116058683395386,0.034686409341579516,0.05188241004943848,0.0010997771906679052,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.5068623543021751,0.48013084797368466,0.5144630533932733,0.5194034989115424,0.4890864541804566,0.5019892417522265,0.01501246722488732,18
1.0565957069396972,0.013616747885594731,0.03011922836303711,0.004335513006555329,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.5065432480550272,0.47978788035827746,0.5135409750219571,0.5200731397364251,0.4885713143151267,0.5017033114973627,0.015190400423574255,19
0.526738166809082,0.008063672926083164,0.014515495300292969,0.0003737265671633105,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.5019779000350779,0.47576075936029605,0.5150205874663427,0.5169462372890576,0.48731040499266487,0.4994031778286878,0.015896482122524293,20
5.830406332015992,0.08535293252620918,0.1455143451690674,0.004179833415529038,20,500,"{'max_depth': 20, 'n_estimators': 500}",0.4985159033520282,0.4754320579123976,0.5083561184139703,0.5130983992400278,0.48445179510693004,0.4959708548050708,0.014196870917688434,21
