Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
0094f0db3d6f933a,100.0,4,0.0,79.0,0.4,0
013a8ff2fc7f161c,40.25,4,22.5,79.89,0.4,0
01936547f056a920,95.0,4,0.0,54.73,0.4,0
0347edc64c1f7097,100.0,4,0.0,9.5,0.4,0
035d883e530e81b1,38.75,4,-21.5,71.78,0.4,0
0361bb4ae999065c,59.5,4,-12.0,72.04,0.4,0
03c0f9fdbc66a814,97.25,4,-5.5,37.13,0.4,0
04c7294e13eb2e70,90.75,4,18.5,74.44,0.4,0
04cf66f652dd4fd7,91.0,4,3.0,40.35,0.4,0
04d2117951068e2a,100.0,4,0.0,50.31,0.4,0
04e44f14c4eec455,73.5,4,41.0,53.33,0.4,0
050592c424bea8ad,83.0,4,-34.0,48.33,0.4,0
05beb5f22321f874,90.0,4,-20.0,58.21,0.4,0
0661b78aa69bc445,72.75,4,-2.5,45.29,0.4,0
06a58b5c8eb2ec89,29.0,4,4.0,87.24,0.4,0
0726ecbcf3ec29c2,73.0,4,-44.0,77.85,0.4,0
07bfe02b9588fd1a,100.0,4,0.0,8.12,0.4,0
0857384126764715,90.0,4,-20.0,54.0,0.4,0
086c199c1f07bd6c,84.5,4,31.0,66.24,0.4,0
0961485c888a48d9,85.75,4,21.5,35.86,0.4,0
0a3c5263e03e2586,46.75,4,12.5,48.15,0.4,0
0a7edfe236b2c056,25.0,1,0.0,80.08,0.4,2
0b1fbda707410b8d,100.0,4,0.0,6.0,0.4,0
0b9eda37bbfa2f18,89.5,4,-21.0,21.92,0.4,0
0bc64ea591a9e4ac,100.0,4,0.0,20.91,0.4,0
0c0426b8899fb7e1,100.0,4,0.0,24.53,0.4,0
0ccbe33f3355187b,100.0,4,0.0,57.77,0.4,0
0d767f6cc48d7d39,57.0,4,-22.0,63.48,0.4,0
0e111425df989c7c,93.25,4,13.5,60.07,0.4,0
0f609f23bfd6774d,64.25,4,-26.5,64.85,0.4,0
0f98922cafca9b0a,94.75,4,-10.5,76.28,0.4,0
0f995a1bb8955d84,81.25,4,-25.5,54.23,0.4,0
109dd73e18b577e0,76.0,4,2.0,25.43,0.4,0
1194327886863a2d,100.0,4,0.0,56.8,0.4,0
11a27dd8b1457609,66.25,4,-27.5,51.42,0.4,0
