Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
11167954,98.0,2,-4.0,19.09,0.2,0
11169353,64.0,2,-48.0,74.68,0.2,0
11280291,100.0,2,0.0,83.28,0.2,0
11469024,100.0,2,0.0,59.61,0.2,0
11720561,50.0,1,0.0,92.5,0.2,1
12270762,100.0,2,0.0,60.14,0.2,0
12576971,100.0,2,0.0,54.51,0.2,0
12701511,93.0,2,-14.0,49.67,0.2,0
12745459,95.0,2,-10.0,54.73,0.2,0
12754502,100.0,2,0.0,27.41,0.2,0
12841693,100.0,2,0.0,29.27,0.2,0
13123645,90.0,2,-20.0,22.69,0.2,0
13281682,51.0,2,-10.0,66.97,0.2,0
13308072,95.0,2,-10.0,47.32,0.2,0
13406553,100.0,2,0.0,31.05,0.2,0
13499914,95.0,2,10.0,24.85,0.2,0
13564306,94.0,2,12.0,26.35,0.2,0
13676825,100.0,2,0.0,39.74,0.2,0
13688287,100.0,2,0.0,24.89,0.2,0
13763057,50.0,1,0.0,63.56,0.2,1
13830286,100.0,2,0.0,77.56,0.2,0
13893461,100.0,2,0.0,56.53,0.2,0
14665404,43.0,2,-14.0,72.29,0.2,0
14733375,100.0,2,0.0,20.55,0.2,0
14840870,75.0,2,50.0,40.19,0.2,0
15279377,45.5,2,-31.0,80.13,0.2,0
15295996,100.0,2,0.0,20.91,0.2,0
15785463,100.0,2,0.0,40.91,0.2,0
15962507,100.0,2,0.0,55.34,0.2,0
16072796,100.0,2,0.0,21.37,0.2,0
16255006,47.5,1,0.0,72.19,0.2,1
16329395,72.0,2,44.0,36.37,0.2,0
16408707,100.0,2,0.0,10.2,0.2,0
16588715,73.5,2,-51.0,76.17,0.2,0
16703339,80.0,2,34.0,71.53,0.2,0
16784767,70.0,2,-60.0,54.21,0.2,0
17360652,32.5,2,15.0,71.79,0.2,0
17489676,100.0,2,0.0,26.02,0.2,0
17628006,100.0,2,0.0,5.32,0.2,0
17886798,49.0,1,0.0,60.0,0.2,1
17975196,96.0,2,-8.0,88.32,0.2,0
18064644,100.0,2,0.0,9.0,0.2,0
18271057,100.0,2,0.0,25.23,0.2,0
18420311,50.0,2,70.0,43.17,0.2,0
18663374,0.0,0,0.0,100.0,0.2,2
18682688,100.0,2,0.0,9.5,0.2,0
18837944,69.0,2,-38.0,78.83,0.2,0
18911436,77.5,2,5.0,64.3,0.2,0
19084213,100.0,2,0.0,16.34,0.2,0
19133412,100.0,2,0.0,35.64,0.2,0
19269673,100.0,2,0.0,11.73,0.2,0
19310562,93.5,2,-13.0,49.23,0.2,0
19672898,95.0,2,10.0,56.02,0.2,0
20031545,90.0,2,-20.0,59.69,0.2,0
20315245,70.0,2,-60.0,92.9,0.2,0
20405006,77.5,2,-45.0,64.85,0.2,0
20572772,100.0,2,0.0,42.83,0.2,0
20606237,99.5,2,1.0,41.45,0.2,0
20906983,77.5,2,5.0,51.63,0.2,0
21220979,99.0,2,2.0,61.8,0.2,0
21850224,95.0,2,-10.0,18.65,0.2,0
21883135,69.0,2,-62.0,73.74,0.2,0
21942493,89.0,2,-22.0,41.04,0.2,0
22085617,99.5,2,-1.0,32.17,0.2,0
22572601,74.5,2,51.0,31.85,0.2,0
22613911,100.0,2,0.0,63.53,0.2,0
22633097,97.0,2,-6.0,29.8,0.2,0
22644198,0.0,0,0.0,88.33,0.2,2
22821314,98.5,2,-3.0,51.73,0.2,0
22857529,81.5,2,37.0,39.87,0.2,0
23401016,100.0,2,0.0,58.39,0.2,0
23619969,100.0,2,0.0,37.41,0.2,0
23711099,100.0,2,0.0,35.67,0.2,0
23713006,75.0,2,50.0,54.43,0.2,0
24019963,100.0,2,0.0,40.65,0.2,0
24075000,99.0,2,2.0,29.06,0.2,0
24557452,54.0,2,-92.0,91.28,0.2,0
24640129,100.0,2,0.0,11.45,0.2,0
24671342,100.0,2,0.0,48.6,0.2,0
24710743,88.0,2,-24.0,89.32,0.2,0
24939639,53.5,2,-93.0,66.62,0.2,0
25260070,75.0,2,50.0,14.21,0.2,0
25308954,45.0,2,-10.0,92.72,0.2,0
25419928,52.5,2,55.0,56.53,0.2,0
25669355,100.0,2,0.0,49.39,0.2,0
25684776,83.0,2,-34.0,50.29,0.2,0
25723239,25.0,1,0.0,67.93,0.2,1
25740456,75.0,2,50.0,58.44,0.2,0
25836854,100.0,2,0.0,37.93,0.2,0
25930563,97.0,2,-6.0,40.78,0.2,0
26121829,0.0,0,0.0,100.0,0.2,2
26123186,100.0,2,0.0,74.11,0.2,0
26200904,100.0,2,0.0,5.0,0.2,0
26234463,100.0,2,0.0,56.64,0.2,0
26304047,87.0,2,-26.0,63.36,0.2,0
26684418,76.0,2,-24.0,56.97,0.2,0
27089073,100.0,2,0.0,43.85,0.2,0
27106818,100.0,2,0.0,28.53,0.2,0
27532900,100.0,2,0.0,16.84,0.2,0
27568352,90.0,2,-20.0,73.94,0.2,0
27687597,50.0,1,0.0,92.26,0.2,1
27706108,100.0,2,0.0,7.88,0.2,0
27771116,100.0,2,0.0,26.5,0.2,0
27878420,25.0,1,0.0,32.64,0.2,1
28452133,100.0,2,0.0,24.48,0.2,0
28559641,52.5,2,59.0,48.13,0.2,0
28636198,100.0,2,0.0,24.63,0.2,0
28679471,100.0,2,0.0,29.98,0.2,0
28784938,100.0,2,0.0,14.95,0.2,0
28785868,100.0,2,0.0,47.92,0.2,0
28818383,100.0,2,0.0,61.83,0.2,0
28818966,87.5,2,25.0,30.83,0.2,0
28971326,19.0,1,0.0,90.42,0.2,1
29071485,75.0,2,50.0,63.9,0.2,0
29120127,100.0,2,0.0,21.33,0.2,0
29134844,87.0,2,-22.0,46.87,0.2,0
29263021,100.0,2,0.0,6.0,0.2,0
29618339,90.0,2,-20.0,45.39,0.2,0
29672416,98.5,2,-3.0,29.15,0.2,0
30374481,83.5,2,-33.0,88.4,0.2,0
30510835,60.0,2,-80.0,92.62,0.2,0
30779454,95.0,2,-10.0,68.07,0.2,0
30827721,98.0,2,-4.0,38.74,0.2,0
31114540,100.0,2,0.0,20.74,0.2,0
31565377,65.5,2,-69.0,72.04,0.2,0
31704515,100.0,2,0.0,19.43,0.2,0
31826049,100.0,2,0.0,26.11,0.2,0
31998234,100.0,2,0.0,20.94,0.2,0
32038095,100.0,2,0.0,4.5,0.2,0
32089066,100.0,2,0.0,16.5,0.2,0
32123776,100.0,2,0.0,24.25,0.2,0
32142602,100.0,2,0.0,18.5,0.2,0
32156607,75.0,2,50.0,75.2,0.2,0
32227450,46.5,1,0.0,65.71,0.2,1
32235313,62.0,2,-76.0,86.52,0.2,0
32274652,100.0,2,0.0,51.07,0.2,0
32354375,93.5,2,-13.0,40.21,0.2,0
32374861,0.0,0,0.0,89.05,0.2,2
32543426,100.0,2,0.0,28.0,0.2,0
32560278,50.0,1,0.0,87.12,0.2,1
32569508,68.0,2,60.0,57.65,0.2,0
32843389,100.0,2,0.0,30.2,0.2,0
33170783,100.0,2,0.0,44.55,0.2,0
33692624,88.5,2,-23.0,42.49,0.2,0
34329637,65.5,2,-11.0,73.79,0.2,0
34402821,100.0,2,0.0,29.83,0.2,0
34647685,100.0,2,0.0,10.79,0.2,0
34792627,79.0,2,-22.0,70.93,0.2,0
34991290,75.0,2,-50.0,64.07,0.2,0
35034611,100.0,2,0.0,36.87,0.2,0
35306838,100.0,2,0.0,50.31,0.2,0
35462444,50.0,1,0.0,43.57,0.2,1
35509050,100.0,2,0.0,35.04,0.2,0
35546656,100.0,2,0.0,30.83,0.2,0
35562917,100.0,2,0.0,31.87,0.2,0
35719979,90.0,2,-20.0,48.97,0.2,0
36051738,100.0,2,0.0,53.35,0.2,0
36142188,100.0,2,0.0,37.55,0.2,0
36326247,100.0,2,0.0,48.09,0.2,0
36454067,100.0,2,0.0,27.75,0.2,0
36578856,100.0,2,0.0,52.67,0.2,0
36914162,100.0,2,0.0,47.49,0.2,0
37002605,97.0,2,-6.0,73.67,0.2,0
37095990,25.0,1,0.0,43.5,0.2,1
37437748,31.5,1,0.0,93.8,0.2,1
37537624,100.0,2,0.0,50.55,0.2,0
37537936,0.0,0,0.0,98.28,0.2,2
37800366,85.0,2,-30.0,79.06,0.2,0
37948413,100.0,2,0.0,20.5,0.2,0
38153461,82.5,2,-35.0,45.41,0.2,0
38422124,80.0,2,-40.0,49.55,0.2,0
38764638,83.0,2,-34.0,42.99,0.2,0
38901349,100.0,2,0.0,43.44,0.2,0
39064648,80.0,2,-40.0,58.15,0.2,0
39287765,68.0,2,-56.0,63.48,0.2,0
39330772,100.0,2,0.0,31.06,0.2,0
39399020,100.0,2,0.0,21.15,0.2,0
39405358,100.0,2,0.0,65.02,0.2,0
39410471,53.0,2,-44.0,87.58,0.2,0
39474989,78.5,2,-43.0,60.46,0.2,0
39494940,100.0,2,0.0,22.51,0.2,0
39512079,100.0,2,0.0,11.5,0.2,0
39606229,100.0,2,0.0,11.07,0.2,0
39887892,85.0,2,-30.0,72.3,0.2,0
39993962,100.0,2,0.0,53.99,0.2,0
40029510,0.0,0,0.0,100.0,0.2,2
40236376,25.0,1,0.0,91.56,0.2,1
40670067,100.0,2,0.0,41.29,0.2,0
40900192,74.5,2,-47.0,90.6,0.2,0
41093435,95.0,2,10.0,16.74,0.2,0
41147688,100.0,2,0.0,22.94,0.2,0
41575343,30.0,1,0.0,70.78,0.2,1
42116723,94.0,2,12.0,29.17,0.2,0
42138860,100.0,2,0.0,75.08,0.2,0
42157679,100.0,2,0.0,8.74,0.2,0
42568550,98.5,2,-3.0,53.69,0.2,0
43096810,100.0,2,0.0,38.73,0.2,0
43113653,100.0,2,0.0,36.55,0.2,0
43128367,90.0,2,-20.0,62.52,0.2,0
43571420,85.0,2,-30.0,34.89,0.2,0
43794234,100.0,2,0.0,21.92,0.2,0
43812111,100.0,2,0.0,44.41,0.2,0
43857731,100.0,2,0.0,18.83,0.2,0
44271200,93.0,2,-14.0,37.53,0.2,0
44597808,100.0,2,0.0,15.13,0.2,0
44724303,50.0,1,0.0,58.18,0.2,1
44872361,50.0,1,0.0,74.0,0.2,1
44932857,100.0,2,0.0,41.49,0.2,0
