Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11158165,96.33,3,-5.0,40.78,0.3
11224771,100.0,3,0.0,54.09,0.3
11434069,61.33,3,-32.0,88.57,0.3
11747543,72.67,3,-36.0,51.42,0.3
11919600,100.0,3,0.0,57.69,0.3
12017886,45.0,3,-17.0,80.13,0.3
12476588,93.33,3,0.0,54.47,0.3
12512351,33.33,1,0.0,41.16,0.3
12661879,45.0,3,-82.0,91.88,0.3
12813155,61.67,3,57.0,48.13,0.3
12853865,99.0,3,-3.0,39.74,0.3
12973739,96.67,3,0.0,47.82,0.3
12977463,52.0,2,-44.0,87.12,0.3
13022790,0.0,0,0.0,100.0,0.3
13200333,75.33,3,-44.0,46.61,0.3
13206613,100.0,3,0.0,83.28,0.3
13419427,100.0,3,0.0,37.41,0.3
13484878,24.67,3,-20.0,94.16,0.3
13638235,0.0,0,0.0,88.33,0.3
13660797,100.0,3,0.0,52.67,0.3
13952328,91.67,3,25.0,12.39,0.3
14077892,91.67,3,25.0,30.83,0.3
14183356,95.67,3,-9.0,29.06,0.3
15134054,100.0,3,0.0,38.73,0.3
15271771,45.33,3,-26.0,61.46,0.3
15565983,92.0,3,-24.0,58.21,0.3
15710917,100.0,3,0.0,20.94,0.3
15819297,66.67,2,0.0,64.68,0.3
16159388,100.0,3,0.0,41.81,0.3
16442677,100.0,3,0.0,26.02,0.3
16786464,91.33,3,-13.0,49.23,0.3
17337127,100.0,3,0.0,17.79,0.3
17615355,40.67,3,26.0,79.89,0.3
17737254,100.0,3,0.0,60.05,0.3
17822709,100.0,3,0.0,5.32,0.3
17873572,86.67,3,37.0,71.53,0.3
17976114,100.0,3,0.0,38.95,0.3
17987427,100.0,3,0.0,49.39,0.3
18062126,84.67,3,-9.0,46.67,0.3
18081806,84.0,3,12.0,56.97,0.3
18315078,89.67,3,0.0,81.35,0.3
18377232,85.0,3,25.0,51.63,0.3
18736598,100.0,3,0.0,21.15,0.3
18906396,100.0,3,0.0,41.49,0.3
18975754,100.0,3,0.0,33.76,0.3
19109399,99.0,3,-3.0,43.85,0.3
19284690,100.0,3,0.0,18.84,0.3
20156585,100.0,3,0.0,42.47,0.3
20169569,100.0,3,0.0,75.08,0.3
20643163,9.33,1,0.0,62.66,0.3
20707428,40.67,3,-98.0,92.62,0.3
20783267,72.33,3,-28.0,62.6,0.3
20907403,100.0,3,0.0,10.0,0.3
21878350,100.0,3,0.0,36.37,0.3
22052451,100.0,3,0.0,42.54,0.3
22491891,99.0,3,0.0,39.5,0.3
22623633,100.0,3,0.0,28.93,0.3
23446300,100.0,3,0.0,21.33,0.3
23714131,76.67,3,-33.0,44.33,0.3
23842524,71.67,3,-21.0,65.47,0.3
24048469,95.67,3,13.0,36.07,0.3
24051315,100.0,3,0.0,16.76,0.3
24096564,0.0,0,0.0,100.0,0.3
24143294,89.0,3,-33.0,53.99,0.3
24459859,66.67,2,0.0,81.58,0.3
24551377,96.67,3,0.0,18.65,0.3
24887274,100.0,3,0.0,56.8,0.3
25043167,100.0,3,0.0,25.44,0.3
25128661,100.0,3,0.0,13.5,0.3
25161993,100.0,3,0.0,12.54,0.3
25232060,0.0,0,0.0,54.08,0.3
25246483,16.67,1,0.0,67.93,0.3
25339916,96.67,3,10.0,16.74,0.3
25341888,36.33,3,19.0,71.79,0.3
25402739,67.33,3,44.0,66.97,0.3
25582898,68.0,3,4.0,25.43,0.3
25636204,100.0,3,0.0,30.83,0.3
26023320,100.0,3,0.0,27.95,0.3
26217047,68.33,3,3.0,73.79,0.3
26222852,64.33,2,7.0,55.57,0.3
26860833,100.0,3,0.0,44.55,0.3
27201387,100.0,3,0.0,21.92,0.3
27281340,100.0,3,0.0,4.45,0.3
27294239,100.0,3,0.0,32.33,0.3
27453250,100.0,3,0.0,65.02,0.3
27495476,84.33,3,-44.0,53.69,0.3
27913438,86.67,3,0.0,58.15,0.3
28048428,83.0,3,50.0,25.79,0.3
28124146,80.0,3,46.0,36.37,0.3
28955281,83.33,3,50.0,40.19,0.3
29439783,0.0,0,0.0,60.91,0.3
29612438,100.0,3,0.0,55.34,0.3
29664781,0.0,0,0.0,100.0,0.3
29845305,93.33,3,0.0,62.75,0.3
30085199,66.67,3,29.0,78.96,0.3
30246894,100.0,3,0.0,38.23,0.3
30287479,31.33,2,-6.0,32.64,0.3
30366337,0.0,0,0.0,91.72,0.3
30483379,75.67,3,-51.0,63.91,0.3
30560384,100.0,3,0.0,28.87,0.3
30629788,85.33,3,-44.0,74.11,0.3
30729674,65.33,3,-14.0,92.16,0.3
30809440,100.0,3,0.0,23.5,0.3
30858510,100.0,3,0.0,24.28,0.3
30984748,100.0,3,0.0,24.35,0.3
31070005,95.33,3,0.0,43.64,0.3
31108206,100.0,3,0.0,50.55,0.3
31118006,100.0,3,0.0,41.9,0.3
31194409,100.0,3,0.0,19.41,0.3
31447170,99.0,3,0.0,29.15,0.3
31515686,96.33,3,-11.0,27.75,0.3
31550156,100.0,3,0.0,59.89,0.3
31587143,96.0,3,12.0,26.35,0.3
31719177,46.33,2,39.0,91.56,0.3
31786421,99.33,3,2.0,53.01,0.3
32135295,100.0,3,0.0,7.5,0.3
32167288,85.67,3,-33.0,71.55,0.3
32369242,64.67,3,-56.0,64.07,0.3
32440696,100.0,3,0.0,15.6,0.3
32542107,95.33,3,-3.0,67.23,0.3
32553501,100.0,3,0.0,20.5,0.3
32917679,100.0,3,0.0,18.21,0.3
32933728,100.0,3,0.0,5.0,0.3
33104998,100.0,3,0.0,44.63,0.3
33413033,100.0,3,0.0,20.91,0.3
33812190,97.0,3,0.0,68.49,0.3
34060046,70.67,3,-78.0,77.85,0.3
34187077,14.33,1,0.0,98.28,0.3
34499704,100.0,3,0.0,41.29,0.3
34601971,96.67,3,0.0,40.75,0.3
34741492,100.0,3,0.0,44.94,0.3
34756021,100.0,3,0.0,31.87,0.3
34822380,36.0,2,-92.0,91.28,0.3
35296864,100.0,3,0.0,29.83,0.3
35373449,89.0,3,-33.0,25.23,0.3
36015097,87.0,3,-29.0,47.32,0.3
36659362,90.0,3,0.0,79.06,0.3
36691421,100.0,3,0.0,24.58,0.3
36705708,100.0,3,0.0,21.07,0.3
36790705,100.0,3,0.0,35.67,0.3
36873973,100.0,3,0.0,47.47,0.3
36937392,64.0,3,-15.0,66.62,0.3
37386081,100.0,3,0.0,15.5,0.3
37897324,100.0,3,0.0,54.51,0.3
38229828,40.33,2,21.0,91.16,0.3
38307765,59.33,3,64.0,48.15,0.3
38489541,100.0,3,0.0,60.14,0.3
38841275,84.0,3,-14.0,50.29,0.3
38947852,54.33,3,-75.0,55.57,0.3
39177061,63.33,3,-41.0,72.04,0.3
39182580,100.0,3,0.0,28.22,0.3
39480012,99.33,3,2.0,28.93,0.3
39815182,100.0,3,0.0,6.0,0.3
