Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
58548383,80.6,10,-23.72,44.75,1.0,0
59163655,0.0,0,0.0,100.0,1.0,10
59471439,63.29,7,-12.81,65.33,1.0,2
59981065,100.0,10,0.0,32.11,1.0,0
60270104,98.26,10,3.49,39.84,1.0,0
60401339,69.41,9,-17.18,78.54,1.0,1
60742408,82.09,9,-15.48,36.67,1.0,1
60851962,43.67,7,-45.87,80.33,1.0,2
62722675,73.85,10,-19.16,58.43,1.0,0
63660864,95.9,10,1.52,29.97,1.0,0
64169635,84.36,10,0.62,47.71,1.0,0
64481181,88.4,10,-19.36,20.42,1.0,0
64732981,85.05,9,-5.81,36.13,1.0,1
65519433,75.23,8,-11.92,42.89,1.0,1
66057568,84.87,10,-9.0,80.3,1.0,0
67581864,79.82,10,4.5,81.28,1.0,0
67765245,82.83,9,-15.42,56.76,1.0,1
68170960,21.84,4,-64.99,73.32,1.0,3
68533762,95.83,10,-8.33,35.44,1.0,0
68760886,87.3,9,-3.75,44.03,1.0,1
68912516,78.92,10,-1.28,26.26,1.0,0
69106380,21.14,3,-88.57,72.21,1.0,7
69577575,67.37,8,17.83,29.42,1.0,1
69615067,98.65,10,-2.7,42.88,1.0,0
69766313,98.17,10,-0.24,24.03,1.0,0
69974518,68.1,10,-4.08,53.47,1.0,0
70068685,46.16,10,-10.06,75.99,1.0,0
70207680,25.87,4,-20.66,97.41,1.0,6
70210436,41.03,5,-35.2,69.42,1.0,5
70467155,93.42,10,-10.77,46.36,1.0,0
70494079,92.87,10,4.26,44.27,1.0,0
70532804,75.16,10,-6.89,60.68,1.0,0
70741130,32.6,6,-58.94,68.24,1.0,2
71074830,61.71,7,-17.37,73.26,1.0,3
71347202,66.19,10,-27.73,65.02,1.0,0
71714132,86.32,10,3.95,72.83,1.0,0
71745365,44.55,8,-24.08,90.6,1.0,2
71897140,75.0,8,-12.5,78.2,1.0,1
73316563,91.68,10,-5.21,48.44,1.0,0
73368913,52.53,6,0.1,37.21,1.0,2
73572610,79.7,10,-16.11,65.95,1.0,0
73618759,81.91,10,-13.69,38.01,1.0,0
73630812,94.23,10,-3.59,51.26,1.0,0
74105407,86.09,9,-8.35,64.79,1.0,1
