Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11420638,90.2,5,-24.5,34.0,0.5
11421783,97.6,5,-6.0,58.0,0.5
11491720,53.0,5,-18.0,57.0,0.5
11632500,99.4,5,-1.5,35.0,0.5
11714946,85.0,5,-16.5,57.0,0.5
11796307,89.6,5,-23.0,27.0,0.5
11869975,98.2,5,-4.5,38.0,0.5
12245025,11.4,1,0.0,74.0,0.5
12297298,50.8,5,-2.5,60.0,0.5
12602585,100.0,5,0.0,44.0,0.5
12666133,90.4,5,0.5,75.0,0.5
12695347,100.0,5,0.0,59.0,0.5
12705744,77.0,5,-17.5,92.0,0.5
12778025,88.2,5,-7.5,92.0,0.5
13081326,100.0,5,0.0,30.0,0.5
13081604,92.8,5,-18.0,83.0,0.5
13178635,76.8,5,-4.5,58.0,0.5
13204098,82.2,5,-4.5,55.0,0.5
13225878,0.0,0,0.0,95.0,0.5
13255332,100.0,5,0.0,31.0,0.5
13368222,100.0,5,0.0,33.0,0.5
14122630,99.4,5,-1.5,10.0,0.5
14404536,90.0,5,-25.0,87.0,0.5
14441507,54.6,3,-27.0,85.0,0.5
14599999,100.0,5,0.0,35.0,0.5
14602314,64.0,5,15.0,52.0,0.5
14923953,97.4,5,-6.5,46.0,0.5
15291174,100.0,5,0.0,47.0,0.5
15556025,100.0,5,0.0,49.0,0.5
15788476,86.8,5,-5.0,95.0,0.5
15820378,32.4,5,-41.0,77.0,0.5
15903250,89.2,5,5.0,81.0,0.5
15971844,91.4,5,-5.0,90.0,0.5
16041091,87.6,5,-6.0,88.0,0.5
16075227,88.4,5,-9.0,72.0,0.5
16512856,83.8,5,-40.5,65.0,0.5
16561220,100.0,5,0.0,48.0,0.5
16632344,80.8,5,-34.0,48.0,0.5
16784965,99.2,5,-2.0,56.0,0.5
16937997,100.0,5,0.0,92.0,0.5
16976042,3.8,1,0.0,100.0,0.5
17843517,100.0,5,0.0,22.0,0.5
17994012,28.0,2,-60.0,97.0,0.5
18084843,98.0,5,-5.0,40.0,0.5
18146898,97.0,5,-2.0,56.0,0.5
18320641,100.0,5,0.0,46.0,0.5
18622841,99.2,5,-2.0,47.0,0.5
18655362,45.4,4,27.5,83.0,0.5
18860225,85.4,5,-36.5,92.0,0.5
18954283,35.8,4,-27.5,100.0,0.5
19054836,100.0,5,0.0,9.0,0.5
19481418,96.0,5,2.0,39.0,0.5
19591094,92.0,5,-20.0,67.0,0.5
19625520,22.0,2,54.0,61.0,0.5
19712866,97.6,5,-6.0,81.0,0.5
20031205,94.8,5,-13.0,68.0,0.5
20171158,95.0,5,12.5,7.0,0.5
20301462,92.2,5,-16.5,62.0,0.5
20559426,100.0,5,0.0,40.0,0.5
20780848,100.0,5,0.0,56.0,0.5
20862071,16.0,1,0.0,100.0,0.5
21034479,65.8,5,-32.5,94.0,0.5
21234480,82.8,5,-37.5,55.0,0.5
21446564,93.6,5,-16.0,31.0,0.5
21521372,100.0,5,0.0,76.0,0.5
21659832,43.6,5,-20.0,100.0,0.5
21690717,84.2,5,-30.5,86.0,0.5
21794966,70.0,5,-26.0,91.0,0.5
21876640,100.0,5,0.0,20.0,0.5
22057932,96.4,5,-9.0,100.0,0.5
22160502,100.0,5,0.0,47.0,0.5
22230983,0.0,0,0.0,100.0,0.5
22917914,88.8,5,-7.0,54.0,0.5
22979091,100.0,5,0.0,42.0,0.5
23026814,99.4,5,0.0,50.0,0.5
23044106,98.0,5,-5.0,32.0,0.5
23052040,95.2,5,-7.5,56.0,0.5
23095199,72.4,5,-2.5,93.0,0.5
23097995,83.4,5,12.5,81.0,0.5
23160832,96.0,5,-10.0,14.0,0.5
23552581,100.0,5,0.0,10.0,0.5
23573814,95.0,5,-12.5,17.0,0.5
23592772,81.2,5,-5.5,67.0,0.5
23627697,76.4,5,-45.0,59.0,0.5
23698854,77.8,5,-43.5,83.0,0.5
23832963,57.8,4,50.5,38.0,0.5
23887541,97.8,5,-3.5,71.0,0.5
24247085,10.0,1,0.0,73.0,0.5
24253453,72.4,5,-9.0,65.0,0.5
24536040,89.4,5,-26.5,43.0,0.5
