Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
38860849,96.67,6,6.67,36.0,0.6
39373972,39.67,6,4.67,135.0,0.6
39689239,40.83,6,-8.33,138.0,0.6
39784903,100.0,6,0.0,102.0,0.6
41312106,92.67,6,-11.33,122.0,0.6
41416595,63.17,6,21.67,47.0,0.6
41554586,44.33,5,-20.0,129.0,0.6
41816562,97.83,6,-4.33,53.0,0.6
41964379,97.33,6,-3.33,47.0,0.6
41987800,98.5,6,-3.0,110.0,0.6
42340012,94.83,6,-10.33,52.0,0.6
42375295,86.0,6,-14.67,112.0,0.6
42600414,76.0,6,-44.0,129.0,0.6
42739989,61.83,6,-27.0,44.0,0.6
42840867,42.67,4,-12.0,130.0,0.6
42870678,100.0,6,0.0,8.0,0.6
43038785,100.0,6,0.0,132.0,0.6
43094536,100.0,6,0.0,42.0,0.6
43114643,84.17,6,23.0,108.0,0.6
43378720,0.0,0,0.0,140.0,0.6
43455746,37.0,6,-7.33,127.0,0.6
43787117,73.0,6,-26.67,128.0,0.6
44417178,81.17,6,-24.33,112.0,0.6
44602941,47.17,5,21.0,60.0,0.6
44892818,85.17,6,-29.67,115.0,0.6
44965222,83.0,6,-34.0,45.0,0.6
44977117,43.5,5,-8.5,120.0,0.6
45020243,84.83,6,-30.33,135.0,0.6
45249213,35.67,3,-6.0,105.0,0.6
45453740,96.83,6,-6.33,51.0,0.6
45464356,95.5,6,-9.0,120.0,0.6
45536963,76.33,6,-18.0,57.0,0.6
45627083,0.0,0,0.0,135.0,0.6
45839073,87.17,6,-25.67,17.0,0.6
46177638,91.17,6,-7.0,140.0,0.6
46238708,99.5,6,-1.0,130.0,0.6
46717500,79.33,6,-41.33,101.0,0.6
46836101,0.0,0,0.0,140.0,0.6
47057162,35.17,4,-84.5,140.0,0.6
47121414,96.5,6,-7.0,103.0,0.6
47416214,95.0,6,2.0,121.0,0.6
47461374,100.0,6,0.0,10.0,0.6
47593950,16.67,1,0.0,102.0,0.6
47759014,78.83,6,-11.0,53.0,0.6
47844746,97.0,6,-6.0,140.0,0.6
48045170,35.5,6,-25.67,117.0,0.6
48118722,70.67,5,-12.0,56.0,0.6
48164537,79.17,5,-12.5,126.0,0.6
48343110,90.83,6,6.33,60.0,0.6
48354119,10.5,2,-51.0,114.0,0.6
48446441,42.33,5,-41.5,135.0,0.6
48462369,20.67,5,-4.5,136.0,0.6
48465241,95.0,6,-10.0,50.0,0.6
48527230,100.0,6,0.0,27.0,0.6
48671530,82.67,5,2.0,15.0,0.6
48715165,100.0,6,0.0,41.0,0.6
48781279,64.5,5,-18.5,133.0,0.6
49118129,59.83,4,10.5,140.0,0.6
49334302,84.0,6,11.33,121.0,0.6
49385116,74.0,5,-28.0,114.0,0.6
49510500,100.0,6,0.0,115.0,0.6
49612785,98.17,6,-3.67,37.0,0.6
49891974,90.5,6,14.33,49.0,0.6
