Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11158165,100.0,1,0,40.78,0.1
11224771,100.0,1,0,54.09,0.1
11434069,88.0,1,0,88.57,0.1
11747543,94.0,1,0,51.42,0.1
11919600,100.0,1,0,57.69,0.1
12017886,61.0,1,0,80.13,0.1
12476588,100.0,1,0,54.47,0.1
12512351,100.0,1,0,41.16,0.1
12661879,100.0,1,0,91.88,0.1
12813155,23.0,1,0,48.13,0.1
12853865,100.0,1,0,39.74,0.1
12973739,100.0,1,0,47.82,0.1
12977463,0.0,0,0,87.12,0.1
13022790,0.0,0,0,100.0,0.1
13200333,100.0,1,0,46.61,0.1
13206613,100.0,1,0,83.28,0.1
13419427,100.0,1,0,37.41,0.1
13484878,38.0,1,0,94.16,0.1
13638235,0.0,0,0,88.33,0.1
13660797,100.0,1,0,52.67,0.1
13952328,75.0,1,0,12.39,0.1
14077892,75.0,1,0,30.83,0.1
14183356,98.0,1,0,29.06,0.1
15134054,100.0,1,0,38.73,0.1
15271771,38.0,1,0,61.46,0.1
15565983,100.0,1,0,58.21,0.1
15710917,100.0,1,0,20.94,0.1
15819297,0.0,0,0,64.68,0.1
16159388,100.0,1,0,41.81,0.1
16442677,100.0,1,0,26.02,0.1
16786464,100.0,1,0,49.23,0.1
17337127,100.0,1,0,17.79,0.1
17615355,38.0,1,0,79.89,0.1
17737254,100.0,1,0,60.05,0.1
17822709,100.0,1,0,5.32,0.1
17873572,63.0,1,0,71.53,0.1
17976114,100.0,1,0,38.95,0.1
17987427,100.0,1,0,49.39,0.1
18062126,100.0,1,0,46.67,0.1
18081806,88.0,1,0,56.97,0.1
18315078,100.0,1,0,81.35,0.1
18377232,75.0,1,0,51.63,0.1
18736598,100.0,1,0,21.15,0.1
18906396,100.0,1,0,41.49,0.1
18975754,100.0,1,0,33.76,0.1
19109399,100.0,1,0,43.85,0.1
19284690,100.0,1,0,18.84,0.1
20156585,100.0,1,0,42.47,0.1
20169569,100.0,1,0,75.08,0.1
20643163,0.0,0,0,62.66,0.1
20707428,100.0,1,0,92.62,0.1
20783267,100.0,1,0,62.6,0.1
20907403,100.0,1,0,10.0,0.1
21878350,100.0,1,0,36.37,0.1
22052451,100.0,1,0,42.54,0.1
22491891,100.0,1,0,39.5,0.1
22623633,100.0,1,0,28.93,0.1
23446300,100.0,1,0,21.33,0.1
23714131,100.0,1,0,44.33,0.1
23842524,88.0,1,0,65.47,0.1
24048469,87.0,1,0,36.07,0.1
24051315,100.0,1,0,16.76,0.1
24096564,0.0,0,0,100.0,0.1
24143294,100.0,1,0,53.99,0.1
24459859,100.0,1,0,81.58,0.1
24551377,100.0,1,0,18.65,0.1
24887274,100.0,1,0,56.8,0.1
25043167,100.0,1,0,25.44,0.1
25128661,100.0,1,0,13.5,0.1
25161993,100.0,1,0,12.54,0.1
25232060,0.0,0,0,54.08,0.1
