Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11158165,98.9,10,2.2,40.78,1.0
11224771,56.5,8,-58.75,54.09,1.0
11434069,26.4,7,-41.33,88.57,1.0
11747543,62.7,9,5.0,51.42,1.0
11919600,70.8,9,-1.5,57.69,1.0
12017886,38.8,8,3.5,80.13,1.0
12476588,64.2,10,-36.8,54.47,1.0
12512351,10.0,1,0.0,41.16,1.0
12661879,20.3,6,-22.33,91.88,1.0
12813155,67.2,10,6.4,48.13,1.0
12853865,96.2,10,-4.4,39.74,1.0
12973739,86.7,10,-3.0,47.82,1.0
12977463,32.2,5,-35.0,87.12,1.0
13022790,0.0,0,0.0,100.0,1.0
13200333,72.0,9,6.5,46.61,1.0
13206613,41.8,5,-41.0,83.28,1.0
13419427,81.6,9,-21.0,37.41,1.0
13484878,14.6,6,-0.67,94.16,1.0
13638235,14.9,4,25.5,88.33,1.0
13660797,84.9,9,-9.75,52.67,1.0
13952328,82.5,9,-6.25,12.39,1.0
14077892,88.8,10,8.4,30.83,1.0
14183356,92.5,10,-9.8,29.06,1.0
15134054,99.0,10,2.0,38.73,1.0
15271771,54.6,9,8.0,61.46,1.0
15565983,70.2,10,-15.2,58.21,1.0
15710917,88.9,9,-2.75,20.94,1.0
15819297,75.8,8,-10.5,64.68,1.0
16159388,94.8,10,-6.8,41.81,1.0
16442677,100.0,10,0.0,26.02,1.0
16786464,57.1,8,-23.25,49.23,1.0
17337127,100.0,10,0.0,17.79,1.0
17615355,27.3,10,-17.8,79.89,1.0
17737254,81.8,10,-7.2,60.05,1.0
17822709,99.2,10,0.4,5.32,1.0
17873572,49.6,8,-49.5,71.53,1.0
17976114,92.2,10,-5.6,38.95,1.0
17987427,75.0,10,-39.6,49.39,1.0
18062126,79.2,10,-4.0,46.67,1.0
18081806,45.8,8,-40.5,56.97,1.0
18315078,36.0,5,-39.0,81.35,1.0
18377232,55.0,9,-48.5,51.63,1.0
18736598,94.7,10,-9.4,21.15,1.0
18906396,90.4,10,-14.0,41.49,1.0
18975754,98.1,10,-1.8,33.76,1.0
19109399,60.8,8,-46.5,43.85,1.0
19284690,89.4,10,-17.6,18.84,1.0
20156585,60.8,7,-30.67,42.47,1.0
20169569,62.3,7,-25.67,75.08,1.0
20643163,36.3,6,32.33,62.66,1.0
20707428,12.2,3,-98.0,92.62,1.0
20783267,44.5,9,-27.5,62.6,1.0
20907403,100.0,10,0.0,10.0,1.0
21878350,98.9,10,2.2,36.37,1.0
22052451,77.4,10,-29.2,42.54,1.0
22491891,72.0,9,-20.75,39.5,1.0
22623633,97.2,10,-3.2,28.93,1.0
23446300,97.7,10,-3.4,21.33,1.0
23714131,73.2,10,-7.2,44.33,1.0
23842524,42.8,8,-12.5,65.47,1.0
24048469,98.7,10,2.6,36.07,1.0
24051315,100.0,10,0.0,16.76,1.0
24096564,0.0,0,0.0,100.0,1.0
24143294,91.7,10,0.6,53.99,1.0
24459859,27.3,3,-27.0,81.58,1.0
24551377,76.3,10,-21.4,18.65,1.0
24887274,95.5,10,-7.8,56.8,1.0
25043167,85.3,9,-7.25,25.44,1.0
25128661,100.0,10,0.0,13.5,1.0
25161993,91.3,10,-12.6,12.54,1.0
25232060,47.3,6,42.33,54.08,1.0
25246483,39.5,7,32.33,67.93,1.0
25339916,99.0,10,2.0,16.74,1.0
25341888,40.7,8,12.25,71.79,1.0
25402739,57.8,8,9.5,66.97,1.0
25582898,88.7,10,15.8,25.43,1.0
25636204,95.2,10,-9.6,30.83,1.0
26023320,98.0,10,-4.0,27.95,1.0
26217047,53.2,10,4.4,73.79,1.0
26222852,66.5,8,-14.25,55.57,1.0
26860833,78.4,10,-10.8,44.55,1.0
27201387,93.8,10,4.4,21.92,1.0
27281340,100.0,10,0.0,4.45,1.0
27294239,82.7,9,-18.25,32.33,1.0
27453250,56.8,8,-53.0,65.02,1.0
27495476,50.6,8,-37.0,53.69,1.0
27913438,84.9,10,-2.6,58.15,1.0
28048428,79.9,10,-8.2,25.79,1.0
28124146,82.9,10,-6.2,36.37,1.0
28955281,75.7,9,-6.0,40.19,1.0
29439783,48.2,6,28.0,60.91,1.0
29612438,92.9,10,-7.0,55.34,1.0
29664781,0.0,0,0.0,100.0,1.0
29845305,64.1,10,-22.6,62.75,1.0
30085199,37.6,8,-26.5,78.96,1.0
30246894,77.0,9,-25.25,38.23,1.0
30287479,65.9,8,20.25,32.64,1.0
30366337,20.7,4,11.5,91.72,1.0
30483379,69.2,10,13.2,63.91,1.0
30560384,97.2,10,-2.4,28.87,1.0
30629788,56.3,10,-21.8,74.11,1.0
30729674,19.6,3,-14.0,92.16,1.0
30809440,92.5,10,-15.0,23.5,1.0
30858510,94.3,10,-11.4,24.28,1.0
30984748,99.5,10,-1.0,24.35,1.0
31070005,78.4,9,-17.0,43.64,1.0
31108206,93.0,10,-14.0,50.55,1.0
31118006,76.5,8,-8.75,41.9,1.0
31194409,80.3,9,-24.25,19.41,1.0
31447170,94.4,10,-7.6,29.15,1.0
31515686,76.7,9,-7.75,27.75,1.0
31550156,77.4,9,-9.0,59.89,1.0
31587143,90.5,10,-11.0,26.35,1.0
31719177,21.1,4,-33.5,91.56,1.0
31786421,71.3,9,-34.25,53.01,1.0
32135295,100.0,10,0.0,7.5,1.0
32167288,45.5,6,-19.67,71.55,1.0
32369242,64.9,9,33.25,64.07,1.0
32440696,98.5,10,-3.0,15.6,1.0
32542107,73.9,9,-13.25,67.23,1.0
32553501,98.0,10,-4.0,20.5,1.0
32917679,85.8,10,-28.4,18.21,1.0
32933728,100.0,10,0.0,5.0,1.0
33104998,87.9,10,-24.2,44.63,1.0
33413033,99.7,10,0.6,20.91,1.0
33812190,51.3,9,-65.25,68.49,1.0
34060046,45.5,7,-16.33,77.85,1.0
34187077,4.3,1,0.0,98.28,1.0
34499704,94.5,10,-6.6,41.29,1.0
34601971,92.6,10,-2.8,40.75,1.0
34741492,69.9,8,-20.25,44.94,1.0
34756021,86.2,10,-27.6,31.87,1.0
34822380,11.8,3,-90.0,91.28,1.0
35296864,76.5,10,-42.2,29.83,1.0
35373449,90.5,10,1.4,25.23,1.0
36015097,95.2,10,9.6,47.32,1.0
