Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
01afd650ca049dc1,84.9,6,-11.14,70.64,0.6,0
02408595037ab3b6,84.31,6,-7.56,49.29,0.6,0
02674da7be72b3d9,85.35,6,-19.77,59.83,0.6,0
04afeb9be5786a77,92.9,6,-8.48,45.6,0.6,0
06299feab50780d3,55.78,5,-65.47,55.08,0.6,1
09dcd5a8514f9bc2,77.12,6,-18.46,78.23,0.6,0
0aa53e746805b00e,43.5,4,-69.49,68.24,0.6,2
0b2c18a3f34dbcff,82.61,6,-12.87,39.47,0.6,0
0e29464e43853ece,98.67,6,-2.67,30.98,0.6,0
0e4fbc1d1aa6dd01,99.52,6,0.95,47.44,0.6,0
0f09efb6fa86ce5e,98.53,6,-2.93,29.25,0.6,0
0f19997e4f8cc30d,84.02,6,-1.1,40.04,0.6,0
0f2b5f1007700f65,75.49,6,-12.04,63.05,0.6,0
104287a63371554d,83.32,6,-0.5,67.87,0.6,0
140639a5a59807d6,16.67,2,-60.0,59.7,0.6,3
16201bc3218b8118,75.82,6,-41.69,58.27,0.6,0
162c45c12836f510,85.5,6,11.67,46.53,0.6,0
176f06e60542e2c5,58.9,4,-23.29,83.61,0.6,2
179a345ab1e810e1,74.39,6,-41.5,64.08,0.6,0
17ed47bac5ac3f2e,29.78,5,-55.0,87.55,0.6,1
17f0fdbd8f4528ee,87.4,6,-4.97,45.85,0.6,0
19570510d7698453,92.55,6,-5.37,60.73,0.6,0
19ed34ccf92098e2,88.46,6,-13.55,22.07,0.6,0
1a59bfcb528707c2,98.32,6,-1.45,20.51,0.6,0
1b8ee1200a71c3a8,86.95,6,-16.57,72.83,0.6,0
1ba3bd6357616437,40.68,6,-33.99,85.28,0.6,0
1bd061f6152f1a87,95.24,6,9.52,48.44,0.6,0
1cb4cd931b0add66,99.4,6,-1.2,31.52,0.6,0
1d29fd2b66a0f323,88.19,6,11.62,73.38,0.6,0
1db3993db3d3cf7b,97.33,6,-5.33,30.94,0.6,0
1e8e933bdd2329a1,20.95,2,-74.29,97.0,0.6,3
1f1a30def6d033d3,32.33,2,-6.0,92.28,0.6,2
2059ab82b726cbd7,80.14,6,3.62,65.89,0.6,0
20a0f3637fe0237b,78.48,6,-21.62,54.56,0.6,0
219d9d63d9ed2823,67.46,6,-23.81,85.95,0.6,0
236163e7cd452470,100.0,6,0.0,32.11,0.6,0
241b466ba2e16455,94.65,6,-3.08,42.45,0.6,0
242babc45a773463,98.57,6,2.86,36.67,0.6,0
24db1def7f93544d,43.6,5,-27.42,86.75,0.6,1
25b6c6a4d5f5a8c6,90.23,6,-11.92,67.16,0.6,0
2a2a5348612d8f8f,0.0,0,0.0,43.16,0.6,6
2ca12e6956c31f96,92.19,6,6.29,57.44,0.6,0
2cf445098167b9a1,86.16,6,13.28,37.64,0.6,0
2cfab9595c0652f2,94.7,6,1.79,47.07,0.6,0
2d08e5ad0f4b76cd,80.64,6,-19.68,82.55,0.6,0
2e98bdade7580851,78.37,6,15.79,58.15,0.6,0
2f5a9fbcd5bfe934,97.81,6,0.38,36.13,0.6,0
3098814cf1a27792,88.55,6,-9.37,50.54,0.6,0
30fb93867233941d,85.84,6,-9.28,49.57,0.6,0
316143cb4d2ceacd,82.97,6,-15.01,26.26,0.6,0
31d0ad197d05b40f,100.0,6,0.0,35.44,0.6,0
3406b058d04be10d,64.78,6,-29.65,74.01,0.6,0
