Student ID,average_score,assessments_completed,performance_trend
8698764,92.5,4,-15.0
10288456,0.0,0,0.0
10476677,85.75,4,21.5
10700295,94.25,4,0.5
11040511,39.0,2,-44.0
11175690,92.5,4,5.0
11280583,41.25,3,-10.0
11294309,67.0,4,-24.0
11387327,0.0,0,0.0
11435169,98.5,4,-3.0
11720062,100.0,4,0.0
11932445,100.0,4,0.0
11968244,63.75,3,0.0
12172696,73.0,4,10.0
12177825,100.0,4,0.0
12230549,83.75,4,20.5
12241102,100.0,4,0.0
12302791,100.0,4,0.0
12385441,96.0,4,-8.0
12441578,97.25,4,-5.5
12584561,91.25,4,-3.5
12883876,100.0,4,0.0
13124171,56.75,4,-26.5
13148647,100.0,4,0.0
13205082,50.25,4,-5.5
13606343,100.0,4,0.0
13845265,94.25,4,-8.5
13853407,89.75,4,-3.5
13889013,100.0,4,0.0
13891162,35.25,3,-41.0
13902965,90.0,4,-20.0
13912660,100.0,4,0.0
13923218,92.5,4,-15.0
13969648,100.0,4,0.0
14023706,100.0,4,0.0
14036427,72.25,3,-11.0
14056233,95.0,4,10.0
14123987,97.0,4,6.0
14532650,89.0,4,-22.0
14618318,100.0,4,0.0
14804335,100.0,4,0.0
14882960,100.0,4,0.0
14883984,49.0,4,-5.0
15030415,100.0,4,0.0
15168545,100.0,4,0.0
15446974,33.25,4,-20.5
15711707,90.0,4,-20.0
15748697,67.0,4,-11.0
16013789,100.0,4,0.0
16238312,100.0,4,0.0
16459971,56.75,4,27.5
16468243,100.0,4,0.0
16640820,57.0,3,-68.0
16984312,100.0,4,0.0
17400417,60.0,3,-60.0
17513375,100.0,4,0.0
17744422,37.75,4,-25.5
17858319,92.5,4,-15.0
17959599,90.0,4,-10.0
17996963,100.0,4,0.0
18065078,100.0,4,0.0
18094987,100.0,4,0.0
18280022,90.5,4,-5.0
18320642,73.5,4,-53.0
18416579,89.0,4,-22.0
18513744,76.75,4,-6.5
18772021,100.0,4,0.0
18884292,25.0,1,0.0
18953844,87.5,4,-5.0
19328111,53.25,3,-87.0
19468959,63.0,4,9.0
19620947,86.25,4,-27.5
19880196,52.25,3,-1.0
20248719,86.5,4,-7.0
20679724,35.0,2,-60.0
20743976,66.0,3,-36.0
20818529,95.0,4,0.0
21002121,85.5,4,19.0
21452781,0.0,0,0.0
21585127,97.25,4,-5.5
21815986,60.25,4,20.5
21874749,100.0,4,0.0
21910507,97.5,4,5.0
22105353,100.0,4,0.0
22272253,100.0,4,0.0
22290486,100.0,4,0.0
22313524,25.0,1,0.0
22699641,100.0,4,0.0
22711334,66.25,4,-27.5
22731950,86.75,4,13.5
23061621,59.5,4,-12.0
23158909,97.5,4,-5.0
23775687,100.0,4,0.0
23811832,73.25,4,22.5
24014421,0.0,0,0.0
24073770,100.0,4,0.0
24642845,100.0,4,0.0
25024418,99.5,4,1.0
25979893,74.0,3,-1.0
25992894,72.75,4,-2.5
26013074,100.0,4,0.0
26456552,73.5,4,41.0
26460428,100.0,4,0.0
26484165,100.0,4,0.0
26832681,92.75,4,5.5
27228934,91.75,4,-16.5
27285481,0.0,0,0.0
27325452,83.75,4,-12.5
27538054,100.0,4,0.0
