Student ID,average_score,assessments_completed,performance_trend
8698764,56.1,9,-50.75
10288456,26.6,5,2.0
10476677,73.7,9,-12.25
10700295,37.7,4,0.5
11040511,15.6,2,-44.0
11175690,61.6,9,-35.5
11280583,46.7,9,0.75
11294309,63.5,9,8.75
11387327,0.0,0,0.0
11435169,77.4,10,-29.2
11720062,90.0,9,0.0
11932445,96.7,10,-3.0
11968244,29.1,4,-9.5
12172696,87.2,10,22.4
12177825,55.1,7,-49.67
12230549,64.1,8,-7.25
12241102,97.0,10,-6.0
12302791,78.8,10,-34.0
12385441,56.6,8,-50.5
12441578,89.3,10,-15.4
12584561,71.1,10,-27.4
12883876,94.3,10,-11.4
13124171,25.4,5,-41.5
13148647,100.0,10,0.0
13205082,26.8,9,-37.75
13606343,90.0,9,0.0
13845265,72.0,9,-20.75
13853407,77.4,9,-9.25
13889013,88.5,9,-3.75
13891162,15.5,4,-41.5
13902965,62.7,8,-23.25
13912660,100.0,10,0.0
13923218,62.9,9,-49.0
13969648,100.0,10,0.0
14023706,92.2,10,-5.6
14036427,69.1,8,-10.25
14056233,66.4,9,-35.25
14123987,90.5,10,-11.0
14532650,78.2,10,-21.6
14618318,83.9,9,-15.25
14804335,98.0,10,-4.0
14882960,85.1,9,-5.25
14883984,53.7,10,-3.8
15030415,100.0,10,0.0
15168545,100.0,10,0.0
15446974,46.3,10,15.0
15711707,70.2,10,-15.2
15748697,44.5,9,-27.5
16013789,40.0,4,0.0
16238312,99.0,10,-2.0
16459971,40.3,9,-20.5
16468243,90.4,10,-14.0
16640820,64.2,9,-8.0
16984312,92.5,10,-15.0
17400417,64.6,9,21.5
17513375,100.0,10,0.0
17744422,35.6,9,9.5
17858319,84.5,10,-15.8
17959599,95.2,10,9.6
17996963,100.0,10,0.0
18065078,85.3,9,-7.25
18094987,93.0,10,-14.0
18280022,52.6,8,-49.5
18320642,56.3,10,-21.8
18416579,68.0,9,-29.25
18513744,33.0,5,-45.0
18772021,88.0,10,-24.0
18884292,49.8,6,-22.0
18953844,64.1,10,-22.6
19328111,29.5,4,-52.5
19468959,30.2,6,-20.67
19620947,60.4,10,-49.2
19880196,20.9,3,-1.0
20248719,64.2,10,-36.8
20679724,14.0,2,-60.0
20743976,65.2,8,-17.0
20818529,64.1,8,-29.75
21002121,58.9,8,-23.75
21452781,0.0,0,0.0
21585127,98.9,10,2.2
21815986,37.6,8,-26.5
21874749,99.3,10,-1.4
21910507,99.0,10,2.0
22105353,77.9,10,-24.6
22272253,100.0,10,0.0
22290486,87.1,10,-0.2
22313524,10.0,1,0.0
22699641,100.0,10,0.0
22711334,62.7,9,5.0
22731950,49.6,8,-49.5
23061621,54.9,9,5.5
23158909,69.4,9,-46.5
23775687,99.0,10,-2.0
23811832,33.7,5,-5.5
24014421,0.0,0,0.0
24073770,93.3,10,-13.4
24642845,40.0,4,0.0
25024418,73.0,9,-40.0
25979893,47.7,7,-44.0
25992894,55.3,10,-15.4
26013074,99.7,10,0.6
26456552,58.8,9,-22.75
26460428,64.0,8,-40.0
26484165,93.5,10,7.0
26832681,84.5,10,-17.8
27228934,90.5,10,1.4
27285481,0.0,0,0.0
27325452,56.9,8,-25.25
27538054,98.5,10,-3.0
28109761,81.8,9,4.5
28152410,73.2,10,-7.2
28355991,32.2,5,-35.0
28613839,77.0,9,-25.25
28754240,98.5,10,1.0
28916910,65.5,8,-36.25
28993185,5.0,1,0.0
29029987,89.5,9,1.25
29138045,88.8,10,8.4
29195474,35.9,10,7.0
29301129,97.5,10,-5.0
29331915,48.1,7,-64.33
29351898,27.3,10,-17.8
29385358,0.0,0,0.0
29444926,100.0,10,0.0
29489924,89.0,9,0.0
29795251,91.9,10,1.8
29910308,41.8,5,-41.0
30166785,100.0,10,0.0
30206107,50.6,8,-37.0
30336956,37.5,5,-19.5
30717488,95.6,10,-0.8
30734738,96.8,10,-4.8
30743853,59.2,9,-54.25
30851750,64.0,9,-39.0
30993222,77.8,10,-9.2
31144339,81.9,9,-11.25
31446992,72.0,9,6.5
31664592,60.8,9,-34.5
31775286,54.6,7,-42.33
31893038,48.2,6,28.0
31931305,26.7,3,-9.0
31988752,81.7,10,-32.6
32063855,94.7,10,-9.4
32079179,82.5,9,-6.25
32150780,90.0,10,-11.2
32301635,98.9,10,-2.2
32320940,89.6,10,-17.2
32600799,71.7,8,-20.75
32670174,4.3,1,0.0
32793157,100.0,10,0.0
33021789,68.8,10,-28.8
33373565,0.0,0,0.0
33544570,70.9,10,-35.8
33737937,26.4,7,-41.33
33867994,100.0,10,0.0
34154633,95.2,10,-9.6
34164438,99.0,10,-2.0
34344202,54.6,8,-54.5
34371289,31.1,7,-39.0
34825539,98.7,10,2.6
35092169,83.9,10,15.8
35239168,78.9,10,-7.0
35282012,97.5,10,-5.0
35320195,67.3,10,-58.6
35962311,77.3,9,-7.25
36316773,12.4,2,-76.0
36458945,70.5,10,10.6
36814683,61.3,10,7.0
36925796,76.7,9,-7.75
37503866,100.0,10,0.0
37720912,80.8,10,27.2
37734403,72.4,8,-19.0
37861048,10.3,2,53.0
38764404,93.1,10,2.2
38996093,91.3,10,-12.6
39404900,99.0,10,2.0
39518199,10.0,1,0.0
39801624,100.0,10,0.0
39812656,93.8,10,4.4
40153489,65.9,8,20.25
40300574,79.9,10,-18.2
40435657,76.5,8,-8.75
40541902,0.0,0,0.0
40584220,73.9,9,-13.25
40963132,60.8,7,-30.67
40972553,45.5,6,-19.67
41115870,49.0,8,-40.5
41206961,73.2,9,-37.25
41707679,98.1,10,-1.8
41829309,47.2,9,-39.5
41860313,79.0,9,-4.5
42120296,27.0,5,-52.0
42153309,59.4,8,-36.5
42381774,51.9,9,-28.0
42687541,70.7,9,-4.25
42738772,21.6,6,-52.0
42806736,78.3,9,-29.25
42867665,0.0,0,0.0
42938631,79.8,9,-18.75
43067324,100.0,10,0.0
43297874,100.0,10,0.0
43426555,86.2,10,-27.6
43670750,77.6,10,-44.8
43736747,48.3,8,-48.25
44013913,71.1,9,-27.25
44259391,48.5,7,-10.67
44350129,69.2,10,-26.8
44424412,86.5,9,-8.75
44513932,81.6,9,-21.0
44639956,69.2,10,13.2
45144205,86.4,10,-13.2
45213749,25.0,3,-50.0
45468572,45.0,7,10.67
45672982,57.2,8,-42.0
45873056,78.3,9,-22.5
45990970,42.8,8,-12.5
46159542,57.1,8,-38.75
46244140,100.0,10,0.0
46247807,36.9,7,-27.67
46444181,100.0,10,0.0
46498216,84.5,10,-1.8
47343059,74.0,9,-7.5
47380529,45.5,7,-16.33
47555228,38.8,8,3.5
47907778,100.0,10,0.0
48184659,20.3,6,-22.33
48251029,97.8,10,-4.4
48344774,100.0,10,0.0
48627789,1.4,1,0.0
49135579,5.2,2,-24.0
49152359,0.0,0,0.0
49312326,71.2,9,-37.25
49417477,80.6,9,-5.25
49784910,39.5,7,32.33
