Student ID,average_score,assessments_completed,performance_trend
8698764,60.78,8,-48.25
10288456,22.78,4,15.5
10476677,70.78,8,-12.25
10700295,41.89,4,0.5
11040511,17.33,2,-44.0
11175690,64.67,8,-39.5
11280583,48.67,8,9.0
11294309,70.56,9,8.75
11387327,0.0,0,0.0
11435169,82.78,9,-27.25
11720062,88.89,8,0.0
11932445,98.22,9,-1.75
11968244,32.33,4,-9.5
12172696,85.78,9,25.0
12177825,54.89,6,-35.33
12230549,71.22,8,-7.25
12241102,96.67,9,-7.5
12302791,79.89,9,-40.0
12385441,51.78,7,-72.67
12441578,95.56,9,-3.5
12584561,69.44,9,-41.0
12883876,100.0,9,0.0
13124171,28.22,5,-41.5
13148647,100.0,9,0.0
13205082,28.89,8,-35.5
13606343,88.89,8,0.0
13845265,68.89,8,-33.5
13853407,82.78,8,6.75
13889013,87.22,8,-3.75
13891162,17.22,4,-41.5
13902965,69.67,8,-23.25
13912660,100.0,9,0.0
13923218,62.0,8,-45.5
13969648,100.0,9,0.0
14023706,96.11,9,-2.5
14036427,76.78,8,-10.25
14056233,63.89,8,-46.25
14123987,89.44,9,-15.75
14532650,75.78,9,-29.75
14618318,93.22,9,-15.25
14804335,97.78,9,-5.0
14882960,83.44,8,-12.25
14883984,54.11,9,3.25
15030415,100.0,9,0.0
15168545,100.0,9,0.0
15446974,42.89,9,14.75
15711707,66.89,9,-36.75
15748697,43.78,8,-35.5
16013789,44.44,4,0.0
16238312,98.89,9,-2.5
16459971,39.22,8,-25.25
16468243,89.33,9,-20.75
16640820,63.0,8,-1.75
16984312,91.67,9,-18.75
17400417,60.67,8,7.5
17513375,100.0,9,0.0
17744422,29.89,8,-8.25
17858319,84.33,9,-18.25
17959599,94.67,9,10.0
17996963,100.0,9,0.0
18065078,86.89,8,-4.5
18094987,92.22,9,-17.5
18280022,58.44,8,-49.5
18320642,56.89,9,-29.5
18416579,67.78,8,-25.5
18513744,36.67,5,-45.0
18772021,89.89,9,-22.75
18884292,50.78,5,-3.5
18953844,64.22,9,-37.25
19328111,32.78,4,-52.5
