Student ID,module_code,TOTAL,assessment_number,score,progress_in_semester
20a0f3637fe0237b,CS161,45.44340476,1,100.0,0.1
e6c3bbd110803f2d,CS161,69.0597619,1,100.0,0.1
38550e9b9dad2045,CS161,63.3,1,100.0,0.1
162c45c12836f510,CS161,53.47416667,1,100.0,0.1
6df6441e9268e3f5,CS161,57.1175,1,100.0,0.1
1b8ee1200a71c3a8,CS161,27.16914286,1,100.0,0.1
0e4fbc1d1aa6dd01,CS161,52.55642857,1,100.0,0.1
a8d1ead55fe7e895,CS161,64.74547619,1,100.0,0.1
ecf1039dd6b9f909,CS161,34.9812381,1,94.0,0.1
2f5a9fbcd5bfe934,CS161,63.86740476,1,100.0,0.1
e42b4ebf33157b9b,CS161,17.50864286,1,100.0,0.1
fe3c150b3d42de85,CS161,0.0,1,0.0,0.1
92bb05bbd8f45d77,CS161,28.27516667,1,100.0,0.1
f6b7103b2e6c5090,CS161,37.39347619,1,100.0,0.1
ad9302387da8e1e7,CS161,53.02421429,1,100.0,0.1
241b466ba2e16455,CS161,57.55071429,1,100.0,0.1
be2b5869efe5ea85,CS161,64.17366667,1,100.0,0.1
743bcbf815851704,CS161,50.60142857,1,100.0,0.1
b0c3633b4cd37dce,CS161,73.60204762,1,100.0,0.1
89012b465cb5e401,CS161,32.58654762,1,100.0,0.1
63ed1dd0fb5274cc,CS161,20.55447619,1,100.0,0.1
f2a4e87a90f803dd,CS161,34.05209524,1,100.0,0.1
3406b058d04be10d,CS161,25.9912619,1,100.0,0.1
cc51d8fdba9e5969,CS161,75.96678571,1,100.0,0.1
441a1ae7faa11e1f,CS161,62.79064286,1,100.0,0.1
458a78dedea92576,CS161,79.4625,1,100.0,0.1
25b6c6a4d5f5a8c6,CS161,32.84371429,1,100.0,0.1
242babc45a773463,CS161,63.32928571,1,100.0,0.1
f74aced4328bef3f,CS161,78.195,1,100.0,0.1
b408376ca317a661,CS161,77.90666667,1,100.0,0.1
b3685a33c7930ff3,CS161,28.39195238,1,100.0,0.1
