Student ID,TOTAL,Lab 1,Lab 2 ,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
20a0f3637fe0237b,45.44340476,100.0,100.0,67.85714286,48.0,55.0,100.0,71.0,37.16666667,76.4,14.66666667
e6c3bbd110803f2d,69.0597619,100.0,100.0,97.14285714,100.0,100.0,100.0,85.25,75.33333333,100.0,100.0
38550e9b9dad2045,63.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
162c45c12836f510,53.47416667,100.0,93.0,46.0,74.0,100.0,100.0,67.25,91.66666667,100.0,100.0
6df6441e9268e3f5,57.1175,100.0,100.0,100.0,100.0,100.0,100.0,94.5,92.0,100.0,100.0
1b8ee1200a71c3a8,27.16914286,100.0,100.0,85.71428571,70.0,66.0,100.0,90.75,62.5,88.2,100.0
0e4fbc1d1aa6dd01,52.55642857,100.0,100.0,97.14285714,100.0,100.0,100.0,87.0,100.0,100.0,100.0
a8d1ead55fe7e895,64.74547619,100.0,100.0,85.71428571,100.0,100.0,100.0,75.0,57.83333333,100.0,100.0
ecf1039dd6b9f909,34.9812381,94.0,100.0,39.85714286,74.8,91.6,100.0,25.75,50.33333333,68.2,17.33333333
2f5a9fbcd5bfe934,63.86740476,100.0,100.0,92.85714286,94.0,100.0,100.0,90.5,0.0,92.8,80.33333333
e42b4ebf33157b9b,17.50864286,100.0,100.0,85.71428571,56.4,72.4,47.33333333,63.0,62.66666667,61.6,10.0
fe3c150b3d42de85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92bb05bbd8f45d77,28.27516667,100.0,100.0,100.0,81.2,100.0,100.0,83.5,58.66666667,50.4,0.0
f6b7103b2e6c5090,37.39347619,100.0,100.0,95.71428571,100.0,65.2,100.0,57.5,70.66666667,64.6,14.66666667
ad9302387da8e1e7,53.02421429,100.0,100.0,76.57142857,100.0,89.6,100.0,40.0,90.16666667,80.0,46.33333333
241b466ba2e16455,57.55071429,100.0,100.0,88.57142857,82.0,100.0,97.33333333,65.0,41.66666667,100.0,0.0
be2b5869efe5ea85,64.17366667,100.0,100.0,90.0,66.0,70.0,100.0,50.0,66.66666667,48.2,0.0
743bcbf815851704,50.60142857,100.0,100.0,57.14285714,68.0,60.0,100.0,85.25,58.33333333,100.0,50.66666667
b0c3633b4cd37dce,73.60204762,100.0,100.0,88.57142857,82.0,62.8,100.0,89.0,94.33333333,100.0,84.0
89012b465cb5e401,32.58654762,100.0,100.0,93.57142857,68.0,68.0,100.0,65.25,59.33333333,100.0,73.0
63ed1dd0fb5274cc,20.55447619,100.0,100.0,64.71428571,77.6,83.6,100.0,83.5,21.83333333,38.2,0.0
f2a4e87a90f803dd,34.05209524,100.0,100.0,73.14285714,100.0,65.6,100.0,90.75,57.66666667,69.8,40.0
3406b058d04be10d,25.9912619,100.0,91.66666667,47.14285714,40.0,43.2,66.66666667,0.0,65.33333333,71.2,28.66666667
cc51d8fdba9e5969,75.96678571,100.0,100.0,91.42857143,100.0,100.0,100.0,96.25,94.0,100.0,100.0
441a1ae7faa11e1f,62.79064286,100.0,0.0,85.71428571,76.8,81.6,100.0,0.0,0.0,81.2,0.0
458a78dedea92576,79.4625,100.0,100.0,100.0,100.0,100.0,100.0,63.75,100.0,100.0,100.0
25b6c6a4d5f5a8c6,32.84371429,100.0,100.0,88.57142857,72.0,80.8,100.0,58.5,74.16666667,100.0,45.33333333
242babc45a773463,63.32928571,100.0,100.0,91.42857143,100.0,100.0,100.0,0.0,73.83333333,100.0,55.66666667
f74aced4328bef3f,78.195,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
b408376ca317a661,77.90666667,100.0,99.16666667,100.0,90.0,100.0,100.0,54.0,86.0,100.0,100.0
b3685a33c7930ff3,28.39195238,100.0,66.66666667,71.42857143,80.0,65.6,100.0,87.0,56.16666667,60.0,45.33333333
01afd650ca049dc1,29.36378571,100.0,100.0,71.42857143,71.6,66.4,100.0,0.0,65.33333333,71.2,28.66666667
3dc34f7b14d70125,8.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
