Student ID,EXAM %,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
56555620,3.0,4.0,2.4,4.0,3.12,3.72,3.12,3.6,4.0,2.0,4.0
76454785,83.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
68309340,60.0,4.0,4.0,4.0,4.0,4.0,4.0,2.88,3.76,4.0,4.0
39975386,43.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.6,0.0,4.0
98085773,73.0,2.0,3.96,4.0,3.28,3.56,4.0,2.12,3.8,2.72,2.52
23052040,44.0,4.0,3.84,3.96,3.6,3.64,4.0,2.84,3.08,2.72,2.84
91740159,26.0,4.0,4.0,3.12,2.96,3.12,4.0,3.76,3.52,4.0,4.0
47289565,13.0,4.0,4.0,4.0,4.0,3.64,4.0,3.6,4.0,4.0,4.0
13178635,42.0,4.0,2.52,2.68,3.4,2.76,3.32,2.52,2.52,1.6,3.96
34170934,23.0,4.0,4.0,4.0,3.8,4.0,4.0,3.2,3.2,4.0,1.72
20559426,60.0,4.0,4.0,4.0,4.0,4.0,4.0,3.12,4.0,4.0,4.0
19712866,19.0,4.0,4.0,4.0,4.0,3.52,3.76,3.56,3.12,0.0,4.0
20780848,44.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13204098,45.0,4.0,2.4,4.0,2.68,3.36,0.0,0.56,1.12,1.72,1.48
33846410,76.0,4.0,4.0,4.0,4.0,4.0,4.0,3.32,4.0,2.0,4.0
47558881,38.0,4.0,4.0,4.0,3.52,4.0,4.0,4.0,4.0,3.0,4.0
47621769,12.0,1.24,2.24,1.2,0.64,2.44,1.92,0.64,2.92,2.2,3.08
67640300,32.0,2.0,4.0,4.0,0.16,3.28,4.0,2.88,4.0,4.0,4.0
97081557,47.0,4.0,4.0,4.0,4.0,3.48,4.0,1.48,1.12,0.0,0.88
14599999,65.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
49300303,68.0,3.92,4.0,4.0,4.0,3.88,4.0,1.6,1.52,0.0,2.84
95022040,33.0,4.0,3.72,4.0,1.56,2.2,3.28,1.72,2.72,1.48,2.84
28128104,43.0,4.0,4.0,4.0,4.0,4.0,4.0,3.76,3.6,1.0,2.84
43419063,78.0,3.92,4.0,3.12,4.0,4.0,4.0,4.0,4.0,4.0,4.0
98945252,42.0,4.0,4.0,4.0,3.6,2.92,2.68,1.6,2.72,1.72,4.0
60689806,83.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
52751586,36.0,4.0,2.8,2.24,3.2,3.28,4.0,2.08,4.0,0.0,3.2
43708033,12.0,2.84,1.16,4.0,1.64,0.44,3.08,0.12,1.76,0.0,0.0
61167222,30.0,4.0,4.0,4.0,4.0,3.64,4.0,3.76,3.52,3.0,4.0
96225472,47.0,4.0,3.88,2.24,3.2,2.52,3.08,3.16,3.8,4.0,2.68
33590944,20.0,0.0,2.4,1.76,2.8,1.24,2.24,0.4,2.76,0.0,2.84
59510960,27.0,3.96,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
98028272,3.0,3.76,3.84,3.48,4.0,2.32,2.88,2.92,4.0,4.0,1.76
54530692,70.0,4.0,3.76,4.0,1.48,3.44,2.8,1.76,1.68,2.72,1.16
95220574,57.0,3.0,4.0,4.0,3.56,2.36,4.0,4.0,3.52,4.0,3.08
19054836,91.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
67022578,73.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
58336981,17.0,4.0,4.0,4.0,4.0,3.4,3.48,1.32,4.0,4.0,4.0
73235876,11.0,4.0,4.0,4.0,0.92,3.28,4.0,3.6,2.4,4.0,1.72
53274945,15.0,1.0,1.6,1.76,2.8,1.96,1.76,1.6,3.8,0.0,0.0
55556336,3.0,4.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99781126,26.0,4.0,3.2,0.24,0.0,0.92,0.0,0.2,0.08,0.0,0.0
33062724,0.0,0.0,0.0,0.0,0.0,1.12,3.76,3.08,3.84,3.72,3.76
50932353,65.0,4.0,4.0,4.0,3.52,4.0,4.0,1.08,2.4,2.0,1.6
22057932,0.0,4.0,4.0,4.0,4.0,3.28,4.0,4.0,4.0,4.0,4.0
52936602,35.0,4.0,4.0,4.0,3.2,4.0,4.0,2.28,4.0,2.72,3.56
33467757,54.0,4.0,3.08,3.52,1.2,2.56,3.08,1.64,1.8,2.64,2.56
92800290,61.0,4.0,4.0,4.0,4.0,4.0,3.56,4.0,4.0,3.0,4.0
39021906,46.0,3.0,3.04,3.8,2.8,3.72,3.56,3.6,3.72,3.72,3.2
79785095,17.0,2.0,4.0,3.84,3.64,3.72,4.0,2.72,1.96,1.72,0.0
37694886,5.0,4.0,3.44,3.96,1.44,0.12,0.0,0.0,0.0,0.0,0.0
35749736,31.0,4.0,4.0,4.0,4.0,4.0,3.08,0.0,1.6,0.0,2.84
93261448,23.0,4.0,0.88,0.88,0.4,2.12,0.0,0.4,1.76,4.0,4.0
26663051,44.0,3.68,0.8,4.0,1.92,1.48,1.32,0.2,2.08,0.0,2.28
46895520,5.0,4.0,4.0,4.0,2.92,2.56,2.88,2.6,4.0,0.0,4.0
37450253,28.0,3.84,1.6,0.44,3.24,2.04,2.24,1.68,1.48,0.0,0.36
23044106,68.0,4.0,4.0,4.0,3.6,4.0,4.0,3.2,2.72,3.2,4.0
58608704,35.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.28
87082041,63.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
61623456,56.0,4.0,3.44,4.0,3.16,2.36,3.08,0.8,2.16,2.0,3.44
56037668,21.0,2.0,4.0,4.0,4.0,2.52,2.24,1.36,4.0,0.72,2.84
36654793,50.0,1.36,4.0,4.0,2.8,4.0,2.24,0.0,1.6,0.0,0.0
26749984,55.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0,4.0,0.0,4.0
80174144,43.0,4.0,4.0,4.0,3.6,0.0,4.0,3.52,2.0,0.0,2.84
92360396,75.0,4.0,4.0,4.0,3.6,3.36,3.8,2.4,3.6,0.0,4.0
23592772,33.0,4.0,2.52,3.64,2.8,3.28,3.08,3.36,4.0,1.0,4.0
82666566,7.0,4.0,0.0,3.84,1.28,2.36,4.0,2.44,3.36,1.4,3.0
19591094,33.0,4.0,4.0,4.0,3.76,2.64,4.0,2.6,3.2,1.6,1.16
22917914,46.0,4.0,3.16,4.0,2.96,3.64,1.48,2.4,2.52,2.72,1.48
57263065,10.0,3.96,3.2,1.92,1.6,1.84,2.24,1.52,3.4,4.0,4.0
86389857,49.0,4.0,3.8,3.52,3.48,2.76,2.88,1.56,1.08,0.0,0.6
90048176,0.0,3.52,1.6,2.24,0.8,0.72,0.88,0.8,0.0,0.0,0.0
33336737,47.0,2.0,3.88,4.0,3.52,3.04,2.92,2.76,3.52,0.0,0.0
21034479,6.0,3.96,1.92,4.0,2.36,0.92,1.24,1.16,2.4,0.24,0.0
16784965,44.0,4.0,4.0,4.0,4.0,3.84,4.0,4.0,4.0,4.0,4.0
86586731,14.0,4.0,3.2,4.0,2.8,1.08,2.44,2.28,2.6,0.72,2.52
68510683,59.0,4.0,4.0,4.0,4.0,2.0,4.0,3.44,3.96,4.0,4.0
49105958,63.0,4.0,4.0,4.0,4.0,4.0,3.56,1.4,4.0,0.0,0.0
25763040,17.0,0.0,0.0,0.0,2.8,2.2,2.24,2.24,2.8,4.0,1.72
97624337,25.0,0.0,3.72,4.0,3.52,3.2,4.0,1.28,2.88,4.0,0.0
34358514,28.0,2.6,4.0,4.0,4.0,3.8,4.0,2.84,4.0,4.0,4.0
70142187,42.0,4.0,4.0,4.0,4.0,3.0,4.0,3.6,4.0,4.0,2.28
36843373,35.0,4.0,1.8,2.88,2.04,0.76,1.76,1.04,1.48,0.0,2.04
69827963,28.0,4.0,3.2,4.0,2.64,2.68,2.72,0.4,1.4,2.92,1.72
72537725,50.0,4.0,4.0,3.68,3.6,3.2,0.44,1.32,1.6,0.0,0.0
56228983,34.0,4.0,3.76,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0
65663583,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
97256019,81.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
30895879,28.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0,4.0
59357454,50.0,4.0,2.6,3.28,2.8,2.92,3.56,0.88,1.88,0.0,2.28
27848865,70.0,1.96,4.0,4.0,1.6,1.44,3.48,4.0,4.0,0.0,4.0
85151556,44.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14404536,13.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
67014340,18.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94598800,14.0,4.0,4.0,4.0,3.32,3.68,0.0,0.0,4.0,1.6,1.16
20171158,93.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0
