Student ID,module_code,TOTAL,assessment_number,score,progress_in_semester
34826933,CS161,59.095,1,100.0,0.1
24051593,CS161,34.38583333,1,100.0,0.1
13584790,CS161,50.96157143,1,100.0,0.1
39671270,CS161,34.09714286,1,100.0,0.1
23706913,CS161,36.92245238,1,100.0,0.1
57809216,CS161,69.85,1,100.0,0.1
53690948,CS161,41.41071429,1,100.0,0.1
82066010,CS161,20.38497619,1,89.0,0.1
49306699,CS161,13.30661905,1,80.6,0.1
93925509,CS161,44.91916667,1,100.0,0.1
23223428,CS161,14.05011905,1,100.0,0.1
68170960,CS161,26.68414286,1,89.2,0.1
31783869,CS161,32.13080952,1,100.0,0.1
32751216,CS161,58.81369048,1,100.0,0.1
70467155,CS161,53.63666667,1,100.0,0.1
47053476,CS161,69.05916667,1,100.0,0.1
86480267,CS161,14.27142857,1,100.0,0.1
62722675,CS161,41.5697619,1,100.0,0.1
17650346,CS161,39.65480952,1,100.0,0.1
48342530,CS161,26.6172619,1,100.0,0.1
42625208,CS161,54.97854762,1,100.0,0.1
20774325,CS161,28.28292857,1,100.0,0.1
24667465,CS161,65.6275,1,100.0,0.1
29965095,CS161,66.96790476,1,100.0,0.1
11344540,CS161,57.84966667,1,100.0,0.1
33584628,CS161,25.26909524,1,100.0,0.1
39072447,CS161,39.09152381,1,100.0,0.1
17954135,CS161,49.45830952,1,100.0,0.1
76060642,CS161,62.10821429,1,100.0,0.1
49456196,CS161,65.46,1,100.0,0.1
24264303,CS161,52.5605,1,100.0,0.1
81569837,CS161,41.7825,1,100.0,0.1
34026803,CS161,9.841071429,1,80.0,0.1
39057051,CS161,29.19366667,1,100.0,0.1
91935699,CS161,25.94761905,1,95.0,0.1
28747258,CS161,77.19845238,1,100.0,0.1
60851962,CS161,19.6667619,1,100.0,0.1
76391613,CS161,53.77945238,1,100.0,0.1
19236487,CS161,67.80166667,1,23.0,0.1
48064815,CS161,56.55904762,1,100.0,0.1
20031894,CS161,56.0525,1,100.0,0.1
17186416,CS161,47.133,1,100.0,0.1
76647396,CS161,64.47961905,1,100.0,0.1
